time,open,high,low,close,Plot,VLT SRI Bias Histogram,LT SRI Bias Histogram,ST SRI Bias Histogram,VST SRI Bias Histogram,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,LOI,Deep Accumulate,Accumulate,Trim 25%,Trim 50%,Trim 75%,Exit 100%,LT Fast Trackline,LT Slow Trackline,BP Headwind,BP Mixed,BP Tailwind,Bear Call,Iron Condor,Exit LT,Exit Time,LT Fast Trackline,LT Slow Trackline,Trail Stop,Entry Headwind,Entry Mixed,Entry Tailwind,Exit LT Confirm,Exit Trail Stop,ST Alert (VST pending)
1766188800,10.755411655459252,10.779200442916194,10.73671446901444,10.74968775263775,,-10,10,-10,-25,10.772258380278858,10.894720276943808,10.894720276943808,10.892455549897852,10.341820989972266,0,0,0,0,9.765885458139655,10.894379465756387,12.022873473373119,10.763572104988212,8.78816491175068,0,0,0,0,10.800397211381224,11.047662451809197,11.047662451809197,10.892455549897852,10.341820989972266,0,0,0,0,10.349431202023455,11.036036134921327,11.722641067819199,10.935532614336553,9.186557733628547,0,0,0,0,29.808722422771815,,,,,,,10.935532614336553,9.186557733628547,0,0,0,0,0,0,0,10.935532614336553,9.186557733628547,10.13673950962169,0,0,0,0,0,0
1766203200,10.749549706056046,10.763463399171272,10.723875225060153,10.746520911142973,,-10,10,-10,-20,10.748099206855224,10.874103975994206,10.874103975994206,10.862659896773614,10.341820989972266,0,0,0,0,9.765885458139655,10.894379465756387,12.022873473373119,10.763572104988212,8.78816491175068,0,0,0,0,10.794036844579862,11.03077219185517,11.03077219185517,10.862659896773614,10.341820989972266,0,0,0,0,10.349431202023455,11.036036134921327,11.722641067819199,10.91799712867493,9.186557733628547,0,0,0,0,29.772932046693096,,,,,,,10.91799712867493,9.186557733628547,0,0,0,0,0,0,0,10.91799712867493,9.186557733628547,10.13673950962169,0,0,0,0,0,0
1766217600,10.746572197337349,10.757137237682093,10.72047473676658,10.733841983353951,,-10,10,-10,-25,10.724643402234214,10.853981809517782,10.853981809517782,10.84328572974003,10.341820989972266,0,0,0,0,9.765885458139655,10.894379465756387,12.022873473373119,10.763572104988212,8.78816491175068,0,0,0,0,10.78624619281788,11.013709384783484,11.013709384783484,10.84328572974003,10.341820989972266,0,0,0,0,10.349431202023455,11.036036134921327,11.722641067819199,10.903251593715169,9.186557733628547,0,0,0,0,29.74283603156836,,,,,,,10.903251593715169,9.186557733628547,0,0,0,0,0,0,0,10.903251593715169,9.186557733628547,10.13673950962169,0,0,0,0,0,0
1766232000,10.733838827093715,10.78390483784578,10.730754417811372,10.750902448155832,,-10,10,-10,-10,10.69891352173043,10.830895456328593,10.830895456328593,10.84328572974003,10.341820989972266,0,0,0,0,9.765885458139655,10.894379465756387,12.022873473373119,10.763572104988212,8.78816491175068,0,0,0,0,10.779529999073024,10.996276419906872,10.996276419906872,10.84328572974003,10.341820989972266,0,0,0,0,10.349431202023455,11.036036134921327,11.722641067819199,10.903251593715169,9.186557733628547,0,0,0,0,29.74283603156836,,,,,,,10.903251593715169,9.186557733628547,0,0,0,0,0,0,0,10.903251593715169,9.186557733628547,10.13673950962169,0,0,0,0,0,0
1766246400,10.75090322803603,10.756842735922763,10.735872898845868,10.747779395526809,,-10,10,-10,-25,10.672635180874469,10.80606248140997,10.80606248140997,10.82878688074745,10.341820989972266,0,0,0,0,9.765885458139655,10.894379465756387,12.022873473373119,10.763572104988212,8.78816491175068,0,0,0,0,10.772402432349665,10.977567184628755,10.977567184628755,10.82878688074745,10.341820989972266,0,0,0,0,10.349431202023455,11.036036134921327,11.722641067819199,10.887852222397832,9.186557733628547,0,0,0,0,29.711405519664744,,,,,,,10.887852222397832,9.186557733628547,0,0,0,0,0,0,0,10.887852222397832,9.186557733628547,10.13673950962169,0,0,0,0,0,0
1766260800,10.74774187599825,10.752414961515278,10.723599961183371,10.735042952297123,,5,15,5,-25,10.644130157729128,10.78015293364527,10.78015293364527,10.820775756999264,10.341820989972266,0,0,0,0,9.832349910054528,10.964442963681314,12.0965360173081,10.763572104988212,8.78816491175068,0,0,0,0,10.765079995252666,10.967799676058029,10.967799676058029,10.820775756999264,10.341820989972266,0,0,0,0,10.369529691200675,11.032002483519674,11.694475275838673,10.876124841837264,9.186557733628547,0,0,0,0,29.68746963509443,,,,,,,10.876124841837264,9.186557733628547,0,0,0,0,0,0,0,10.876124841837264,9.186557733628547,10.13673950962169,0,0,0,0,0,0
1766275200,10.735048227108553,10.800338234452497,10.727304872457001,10.779511447496343,,-10,10,-10,-10,10.620112540396178,10.756343321810304,10.756343321810304,10.820775756999264,10.341820989972266,0,0,0,0,9.832349910054528,10.964442963681314,12.0965360173081,10.763572104988212,8.78816491175068,0,0,0,0,10.760496903532884,10.960158670314518,10.960158670314518,10.820775756999264,10.341820989972266,0,0,0,0,10.369529691200675,11.032002483519674,11.694475275838673,10.876124841837264,9.186557733628547,0,0,0,0,29.68746963509443,,,,,,,10.876124841837264,9.186557733628547,0,0,0,0,0,0,0,10.876124841837264,9.186557733628547,10.13673950962169,0,0,0,0,0,0
1766289600,10.779562914697758,10.78484001669589,10.770972552756488,10.770972552756488,,-10,10,-10,-10,10.598398647487837,10.735748344929128,10.735748344929128,10.820775756999264,10.341820989972266,0,0,0,0,9.832349910054528,10.964442963681314,12.0965360173081,10.763572104988212,8.78816491175068,0,0,0,0,10.754595965863226,10.950520403256348,10.950520403256348,10.820775756999264,10.341820989972266,0,0,0,0,10.369529691200675,11.032002483519674,11.694475275838673,10.876124841837264,9.186557733628547,0,0,0,0,29.68746963509443,,,,,,,10.876124841837264,9.186557733628547,0,0,0,0,0,0,0,10.876124841837264,9.186557733628547,10.13673950962169,0,0,0,0,0,0
1766304000,10.77083971520209,10.777197873262995,10.683966837586208,10.725486204128778,,-10,10,-10,-25,10.569439073641384,10.710485849716493,10.710485849716493,10.787048824671439,10.341820989972266,0,0,0,0,9.832349910054528,10.964442963681314,12.0965360173081,10.763572104988212,8.78816491175068,0,0,0,0,10.74446025316323,10.935927590925058,10.935927590925058,10.787048824671439,10.341820989972266,0,0,0,0,10.369529691200675,11.032002483519674,11.694475275838673,10.876124841837264,9.186557733628547,0,0,0,0,29.68746963509443,,,,,,,10.876124841837264,9.186557733628547,0,0,0,0,0,0,0,10.876124841837264,9.186557733628547,10.13673950962169,0,0,0,0,0,0
1766318400,10.725453665730841,10.852475650398526,10.694465581697205,10.796399236232478,,-10,10,-10,-5,10.564145332595011,10.705358688963221,10.846572045331431,10.787048824671439,10.341820989972266,0,0,0,0,9.832349910054528,10.964442963681314,12.0965360173081,10.763572104988212,8.78816491175068,0,0,0,0,10.739562079036812,10.926217819549569,11.112873560062326,10.787048824671439,10.341820989972266,0,0,0,0,10.369529691200675,11.032002483519674,11.694475275838673,10.876124841837264,9.186557733628547,0,0,0,0,29.68746963509443,,,,,,,10.876124841837264,9.186557733628547,0,0,0,0,0,0,0,10.876124841837264,9.186557733628547,10.13673950962169,0,0,0,0,0,0
