time,open,high,low,close,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1746711000,408.165,423.105,404.5,414.38,399.4268721510846,307.8921795756024,0,0,0,0,0,0,0,0,0,0,399.4268721510846,307.8921795756024,70,25,80,40,268.8687963333193,310.72383529411735,352.5788742549154,382.18867783939214,298.29662026914616,0,0,0,0,365.86015562444453,413.2956823529413,460.73120908143807,405.5358371909689,382.2462947340794,0,0,0,0,329.39755380672176,374.3689411764705,419.34032854621927,399.4268721510846,307.8921795756024,0,0,0,0,388.402966900798,409.0798235294117,429.75668015802546,405.5358371909689,382.2462947340794,0,0,0,0,1.754405292124123,,,,,22135578,1.3380088408422366,137572617.26999944,0.281460189128768,0.31205577619535424,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.1627709034763742,2.3157555457340058,,
1746797400,420,430.3499,406.22,416.03,399.4268721510846,318.907666089739,0,0,0,0,0,0,0,0,0,0,399.4268721510846,318.907666089739,55,40,65,75,277.5864502808462,320.314905882353,363.0433614838598,383.87520085086413,298.29662026914616,0,0,0,0,372.28240561009966,420.73645882352946,469.19051203695926,405.5358371909689,383.83228082450233,0,0,0,0,333.4325949420186,379.39560000000006,425.3586050579815,399.4268721510846,318.907666089739,0,0,0,0,393.63967978540313,413.9108235294123,434.1819672734215,405.5358371909689,383.83228082450233,0,0,0,0,1.8412268242149776,,,,,17161815,1.3359866750739908,-68132405.55000047,0.29133252069291227,0.30781932298735937,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.295194362292293,2.581126078117817,,
1747056600,420.92,422.04,400.83,404.9,399.4268721510846,318.907666089739,0,0,0,0,0,0,0,0,0,0,399.4268721510846,318.907666089739,40,25,50,35,277.5864502808462,320.314905882353,363.0433614838598,383.87520085086413,298.29662026914616,0,0,0,0,377.61931933260894,426.43601176470577,475.2527041968026,405.5358371909689,383.83228082450233,0,0,0,0,337.042656829673,383.75917647058793,430.4756961115029,399.4268721510846,318.907666089739,0,0,0,0,396.7334666220734,414.8213647058826,432.9092627896918,405.5358371909689,383.83228082450233,0,0,0,0,1.8412268242149776,,94.76274607692169,91.673135472081,63.61468105441838,16245468,1.293840776120984,-260252397.36000064,0.2954473470598207,0.29050655187099494,0.00021700000000000148,0.00017360000000000118,0.0001302000000000009,0.00008680000000000059,0.000043400000000000296,0,0.00021700000000000148,2.3067821120344933,2.6085039771283687,,
1747143000,412.5499,422.55,404.12,421.61,400.84983254090355,318.907666089739,0,0,0,0,0,0,0,0,0,0,400.84983254090355,318.907666089739,65,25,55,50,287.6701781015895,330.9355529411761,374.20092778076275,383.87520085086413,298.29662026914616,0,0,0,0,383.056499530967,431.2594235294125,479.462347527858,410.69496963898246,383.83228082450233,0,0,0,0,341.11814949759304,388.88814117647036,436.6581328553477,400.84983254090355,318.907666089739,0,0,0,0,401.0184288735212,418.2029411764708,435.3874534794204,410.69496963898246,383.83228082450233,0,0,0,0,1.847469545802633,,,,,12924974,1.3404556083069434,117101556.93740045,0.3012133158926311,0.2862250104686688,-0.002438000000000001,-0.0019504000000000006,-0.0014628000000000004,-0.0009752000000000003,-0.00048760000000000014,-0.002438000000000001,0,2.273945522428461,2.5421308745477393,,
1747229400,420.395,425.94,410.41,416.75,400.84983254090355,318.907666089739,0,0,0,0,0,0,0,0,0,0,400.84983254090355,318.907666089739,65,25,55,60,287.6701781015895,330.9355529411761,374.20092778076275,388.9081072410162,298.29662026914616,0,0,0,0,387.65694217650724,432.15796470588225,476.65898723525726,410.69496963898246,388.8471541441077,0,0,0,0,345.20002503667206,394.20731764705823,443.2146102574444,400.84983254090355,318.907666089739,0,0,0,0,404.4001197593319,420.1306588235296,435.86119788772726,410.69496963898246,388.8471541441077,0,0,0,0,1.847469545802633,,,,,10722652,1.3182936412414759,-39084066.539999805,0.30843716160211754,0.2885866925120787,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.2964565356020548,2.589902133257409,,
1747315800,411.7,415.36,394.14,397.03,400.84983254090355,318.907666089739,0,0,0,0,0,0,0,0,0,0,400.84983254090355,318.907666089739,5,5,20,25,293.0067343129993,337.26238823529405,381.5180421575888,388.9081072410162,298.29662026914616,0,0,0,0,390.0839555741076,432.48316470588236,474.8823738376571,409.57033125543774,388.8471541441077,0,0,0,0,349.07215152881525,398.99811764705873,448.9240837653022,400.84983254090355,318.907666089739,0,0,0,0,402.895290515666,416.9819529411767,416.9819529411767,409.57033125543774,388.8471541441077,0,0,0,0,1.723848200100641,,,,,14674666,1.2499361470732708,-215277350.22000024,0.30724735259367186,0.313253263037899,0.0015685000000000009,0.0012548000000000008,0.0009411000000000006,0.0006274000000000004,0.0003137000000000002,0,0.0015685000000000009,2.2807204476704315,2.5569610796313285,,
1747402200,399,406.8965,389.01,399.8,400.84983254090355,335.02926136904335,0,0,0,0,0,0,0,0,0,0,400.84983254090355,335.02926136904335,20,-5,20,50,293.0067343129993,337.26238823529405,381.5180421575888,388.9081072410162,298.29662026914616,0,0,0,0,392.26168322377725,431.01427058823515,469.76685795269304,409.57033125543774,388.8471541441077,0,0,0,0,352.8181104907913,403.61821176470556,454.41831303861983,400.84983254090355,335.02926136904335,0,0,0,0,401.5126116072379,414.590564705882,414.590564705882,409.57033125543774,388.8471541441077,0,0,0,0,1.723848200100641,,,,,12461115,1.2526734964112658,9968892.000000142,0.3041707407243095,0.2858729908148806,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.2809622452224763,2.5592055707654606,,
1747661400,392.81,414.59,392.62,413.42,400.84983254090355,335.02926136904335,0,0,0,0,0,0,0,0,0,0,400.84983254090355,335.02926136904335,40,15,40,35,299.757045527578,345.3327529411762,390.9084603547744,388.9081072410162,298.29662026914616,0,0,0,0,395.0152246310141,431.8661294117644,468.7170341925147,409.57033125543774,388.8471541441077,0,0,0,0,356.65140409125866,408.3935058823528,460.135607673447,400.84983254090355,335.02926136904335,0,0,0,0,402.5912626066004,415.03931764705914,427.48737268751785,409.57033125543774,388.8471541441077,0,0,0,0,1.7779728760228493,,80.4612669989477,91.74133769195646,57.71499072676013,12821966,1.2888348120819224,264260719.26000017,0.2971458794728361,0.29858640764886424,-0.0004299999999999996,-0.0003439999999999997,-0.00025799999999999977,-0.00017199999999999984,-0.00008599999999999992,-0.0004299999999999996,0,2.3348181746215046,2.6686082816447976,,
1747747800,413.5,417.85,406.1025,416.92,400.84983254090355,335.02926136904335,0,0,0,0,0,0,0,0,0,0,400.84983254090355,335.02926136904335,40,15,25,35,299.757045527578,345.3327529411762,390.9084603547744,388.9081072410162,298.29662026914616,0,0,0,0,397.8302602681372,433.14624705882335,468.4622338495095,409.57033125543774,388.8471541441077,0,0,0,0,359.90662630082477,411.22712941176474,462.5476325227047,400.84983254090355,335.02926136904335,0,0,0,0,404.0762314120931,416.1395764705884,428.2029215290837,409.57033125543774,388.8471541441077,0,0,0,0,1.7779728760228493,,,,,11532230,1.2934915791821886,39440226.60000018,0.29107515148829277,0.2603549218928383,0.004008500000000001,0.0032068000000000005,0.0024051000000000003,0.0016034000000000003,0.0008017000000000001,0,0.004008500000000001,2.3092388611796735,2.619338470640075,,
1747834200,415.92,423.34,395.5285,402.69,400.84983254090355,335.02926136904335,0,0,0,0,0,0,0,0,0,0,400.84983254090355,335.02926136904335,-5,-5,-5,25,305.65371134451124,352.21335294117625,398.77299453784127,388.9081072410162,298.29662026914616,0,0,0,0,398.41272525003325,431.2526235294115,464.09252180878974,409.57033125543774,388.8471541441077,0,0,0,0,362.3905051495778,413.39063529411777,464.39076543865775,400.84983254090355,335.02926136904335,0,0,0,0,402.403652454767,413.48041176470616,413.48041176470616,409.57033125543774,388.8471541441077,0,0,0,0,1.7164422106688995,,,,,18698520,1.2439499713162048,-247381419.60000035,0.2839478936590385,0.3071534016447881,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.332320622814847,2.6657942020800673,,
