time,open,high,low,close,STH MVRV,MVRV SMA,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,Stage 4 to 1,Stage 1 to 2,Stage 2 to 3,Stage 3 to 4,SRI Bias Histogram,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Deviation Dot,Max Risk,Median Risk,Min Risk,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1739543400,30.24,30.275,29.2,29.31,1.1391886097438049,,27.703498574103378,28.595247058823553,29.486995543543728,29.014715223465267,28.615309126602746,0,0,0,0,10,,,,34965914,1.0536343374793293,-32518300.01999999,30.7755,45.842558371728536,22.787252241426103,12.082530905644159,0.05295309026851491,0.4307624891099981,-0.0007665000000000016,-0.0006132000000000012,-0.00045990000000000093,-0.0003066000000000006,-0.0001533000000000003,-0.0007665000000000016,0,2.2360038048464994,2.552545725830115,,
1739889000,29.62,29.96,29.57,29.91,1.1391886097438049,,27.826950273833752,28.75837647058824,29.689802667342725,29.454925053189935,28.615309126602746,0,0,0,0,25,100,85.70259230585536,61.03196320016817,20511069,1.0748466343010554,5948210.009999982,31.4055,45.87829048089283,22.805482322388805,12.091948667842345,0.05512012526445709,0.347379808043067,0.0038425,0.003074,0.0023055,0.001537,0.0007685,0,0.0038425,2.2136522337860414,2.505344513782019,,
1739975400,29.75,29.84,29.53,29.81,1.156290900172923,,27.95724745902692,28.919905882352914,29.88256430567891,29.454925053189935,28.615309126602746,0,0,0,0,10,,,,13660551,1.0708359405779966,819633.0599999825,31.3005,45.90389622884115,22.81886560485477,12.098697467471698,0.05861221719445431,0.38503068831967596,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.209004261674532,2.492251523145298,,
1740061800,29.98,30.13,29.88,29.95,1.156290900172923,,28.093401865144354,29.090494117647037,30.08758637014972,29.56006572225156,28.615309126602746,0,0,0,0,25,,,,15420400,1.0754089322241598,-462612.0000000175,31.4475,45.92986035690522,22.832427793049668,12.105540723845579,0.061978306274922845,0.3877073390919259,0.0008964999999999993,0.0007171999999999994,0.0005378999999999996,0.0003585999999999997,0.00017929999999999986,0,0.0008964999999999993,2.231350650056187,2.534895783972588,,
1740148200,30.02,30.03,29.5799,29.59,1.1456587390997,,28.197739254235625,29.217458823529427,30.23717839282323,29.56006572225156,28.615309126602746,0,0,0,0,10,,,,15515828,1.0621306297126547,-6671806.039999995,31.0695,45.95475687152033,22.845994077932065,12.112102593818902,0.06456092909505773,0.40591180441097535,-0.0012870000000000004,-0.0010296000000000003,-0.0007722000000000002,-0.0005148000000000002,-0.0002574000000000001,-0.0012870000000000004,0,2.2683540765641568,2.607947543565732,,
1740407400,29.57,29.615,29.21,29.44,1.1456587390997,,28.329018421636338,29.358823529411776,30.388628637187214,29.56006572225156,28.615309126602746,0,0,0,0,10,79.86882599826289,89.92266577026975,52.23089418287381,13995203,1.056560436405397,-1819376.3899999862,30.912000000000003,45.9858355965986,22.862635304459328,12.120293883083809,0.06468637325339488,0.39333715507322053,0.0036930000000000014,0.002954400000000001,0.002215800000000001,0.0014772000000000006,0.0007386000000000003,0,0.0036930000000000014,2.2182719609922747,2.5034277620235277,,
1740493800,29.17,29.3,28.47,28.83,1.1145878021769715,,28.424888529844353,29.452141176470573,29.452141176470573,29.19505176159575,28.615309126602746,0,0,0,0,-10,,,,22142398,1.0344983250880275,-7528415.320000076,30.2715,46.00848224985339,22.87644074061738,12.126262766531404,0.061130747969804,0.4047353816282217,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.110351980614451,2.278028482982801,,
1740580200,28.78,29.1,28.66,28.94,1.1145878021769715,,28.53088341844186,29.556376470588233,30.581869522734607,29.19505176159575,28.615309126602746,0,0,0,0,-10,,,,10231022,1.038226703143588,1636963.5200000014,30.387000000000004,46.03141666287064,22.890392063531273,12.1323074936131,0.058929657350412334,0.3723920941771383,-0.007765499999999999,-0.006212399999999999,-0.004659299999999999,-0.0031061999999999995,-0.0015530999999999997,-0.007765499999999999,0,2.043206710304588,2.1371552864540306,,
1740666600,28.94,28.94,28.3842,28.4,1.0965223651205258,,28.558998008739245,29.58531764705881,29.58531764705881,29.031959036936072,28.615309126602746,0,0,0,0,-10,,,,16680008,1.018903648563882,-9007204.320000045,29.82,46.05271053365462,22.901158377697282,12.137919829856681,0.050937802245101915,0.37862508418017865,-0.0017835000000000008,-0.0014268000000000006,-0.0010701000000000005,-0.0007134000000000003,-0.00035670000000000016,-0.0017835000000000008,0,1.9420070000525411,1.9251825518044974,,
1740753000,28.18,28.4,28.04,28.31,1.0965223651205258,,28.563196489865426,29.5888,29.5888,28.685158557358143,28.615309126602746,0,0,0,0,-25,,,,13691961,1.0155242919992493,1779954.9299999864,29.7255,46.07369937642362,22.911773171296776,12.14345177114525,0.0430361381624238,0.35871726539376664,-0.005685,-0.004548,-0.003411,-0.002274,-0.001137,-0.005685,0,1.9534234295433088,1.9466656444593897,,
1741012200,28.86,28.9899,28.66,28.75,1.1082993434142463,,28.598486636064422,29.627129411764702,29.627129411764702,28.685158557358143,28.615309126602746,0,0,0,0,-10,74.42522208513294,84.76468269446528,58.652095352513776,16521966,1.030937971368553,-1817416.2599999907,30.1875,46.102695050313116,22.927303122271375,12.151094039341954,0.0366831437544799,0.36394484819913026,0.0043605,0.0034884,0.0026163000000000002,0.0017442,0.0008721,0,0.0043605,2.173586678343285,2.395219885019623,,
1741098600,29.04,29.14,28.64,29,1.1082993434142463,,28.64809761483433,29.683035294117655,30.71797297340098,28.685158557358143,28.615309126602746,0,0,0,0,-10,,,,13767860,1.0393472113354738,-550714.3999999883,30.450000000000003,46.12570167467935,22.93985596951168,12.157157798866137,0.033428369700596816,0.387255577004384,0.002442500000000001,0.001954000000000001,0.0014655000000000007,0.0009770000000000004,0.0004885000000000002,0,0.002442500000000001,1.9871680300589956,2.0108691414264563,,
1741185000,29.23,29.78,29.21,29.77,1.1453865324278172,,28.714900887312858,29.757529411764725,30.800157936216593,29.24813628142779,28.615309126602746,0,0,0,0,10,,,,25486330,1.0661695899001145,13762618.199999979,31.2585,46.15090704699538,22.95380539562099,12.163801073168745,0.03480110591412777,0.3732777020862251,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.011922493877455,2.0588663604680684,,
1741271400,29.5,29.83,29.47,29.69,1.1453865324278172,,28.770992723946698,29.805741176470598,30.840489628994497,29.3183675079658,28.615309126602746,0,0,0,0,10,,,,16888484,1.0625655163496477,3208811.9600000214,31.174500000000002,46.17584357075841,22.96762272948167,12.170373488185444,0.038810704665787954,0.35900240069194295,0.0019810000000000014,0.0015848000000000012,0.001188600000000001,0.0007924000000000006,0.0003962000000000003,0,0.0019810000000000014,2.0867143074921533,2.210258367857398,,
1741357800,29.39,29.675,29.22,29.59,1.136066958458113,,28.821918025305045,29.854729411764698,30.88754079822435,29.3183675079658,28.615309126602746,0,0,0,0,10,,,,18786435,1.0582145477534177,3757286.9999999865,31.0695,46.200453346625544,22.982065028861843,12.176859783629176,0.04166611103862072,0.3785212406757246,-0.002116500000000002,-0.0016932000000000015,-0.001269900000000001,-0.0008466000000000007,-0.00042330000000000037,-0.002116500000000002,0,2.0693056411267863,2.173563142155034,,
1741613400,29.56,29.5799,29.06,29.11,1.136066958458113,,28.84214472175173,29.86296470588234,30.883784690012952,29.3183675079658,28.615309126602746,0,0,0,0,-10,74.42522208513294,76.23975672284293,63.30067215645724,15888985,1.040160540729948,-7150043.249999989,30.5655,46.23030605996158,22.999118193984398,12.18472793811949,0.044702809919487274,0.3814962495507889,0.004897000000000001,0.003917600000000001,0.002938200000000001,0.0019588000000000006,0.0009794000000000003,0,0.004897000000000001,1.8587307490039728,1.7428868494332415,,
