time,open,high,low,close,S1 fair (MVRV 1.0x),S1 deep (MVRV 0.5x),S1 LOI floor,S3 VWAP upper,S3 VWAP lower,S3 LOI ceiling,S3 Early,S3 Watch,S3 Terminal-probable,S3 Terminal-confirmed,S1 Early,S1 Confirmed,MA
1699626600,88.025,89.44,87.905,89.395,,,,,,,0,0,0,0,0,0,85.1741000000001
1699641000,89.4,89.815,89.4,89.785,,,,,,,0,0,0,0,0,0,85.19952500000008
1699885800,89.36,89.4425,88.86,89.205,,,,,,,0,0,0,0,0,0,85.2227750000001
1699900200,89.215,89.455,89.185,89.22,,,,,,,0,0,0,0,0,0,85.24495000000007
1699972200,90.6,91.1,90.325,90.935,,,,,,,0,0,0,0,0,0,85.27322500000008
1699986600,90.94,91.245,90.575,91.02,,,,,,,0,0,0,0,0,0,85.30447500000008
1700058600,91.39,91.56,90.795,91.105,,,,,,,0,0,0,0,0,0,85.33845000000008
1700073000,91.095,91.325,91.015,91.135,,,,,,,0,0,0,0,0,0,85.37372500000009
1700145000,90.985,91.69,90.8,91.44,,,,,,,0,0,0,0,0,0,85.41247500000009
1700159400,91.45,91.66,91.275,91.595,,,,,,,0,0,0,0,0,0,85.44517500000008
1700231400,91.295,91.575,91.005,91.535,,,,,,,0,0,0,0,0,0,85.47605000000009
1700245800,91.555,91.75,91.19,91.405,,,,,,,0,0,0,0,0,0,85.50630000000008
1700490600,91.5425,92.71,91.53,92.685,,,,,,,0,0,0,0,0,0,85.54267500000009
1700505000,92.695,92.96,92.6,92.75,,,,,,,0,0,0,0,0,0,85.57902500000009
1700577000,92.325,92.445,91.64,91.72,,,,,,,0,0,0,0,0,0,85.60972500000008
1700591400,91.72,92.01,91.7,91.975,,,,,,,0,0,0,0,0,0,85.63472500000007
1700663400,92.555,93.17,92.14,92.79,,,,,,,0,0,0,0,0,0,85.66405000000007
1700677800,92.79,92.81,92.19,92.37,,,,,,,0,0,0,0,0,0,85.69230000000009
1700836200,92.285,92.29,91.86,92.21,,,,,,,0,0,0,0,0,0,85.72195000000009
1701095400,92.05,92.73,91.915,92.59,,,,,,,0,0,0,0,0,0,85.75387500000008
1701109800,92.585,92.605,92.1625,92.195,,,,,,,0,0,0,0,0,0,85.78605000000007
1701181800,91.925,92.62,91.895,92.075,,,,,,,0,0,0,0,0,0,85.81652500000007
1701196200,92.07,92.385,91.975,92.37,,,,,,,0,0,0,0,0,0,85.84525000000006
1701268200,93.05,93.455,92.555,92.75,,,,,,,0,0,0,0,0,0,85.88105000000009
1701282600,92.75,92.75,92.39,92.455,,,,,,,0,0,0,0,0,0,85.91518750000009
1701354600,92.81,92.955,91.805,91.905,,,,,,,0,0,0,0,0,0,85.94558750000007
1701369000,91.905,92.635,91.83,92.56,,,,,,,0,0,0,0,0,0,85.98071250000008
