time,open,high,low,close,MA,200-Week SMA,Weekly RSI,RSI + Below MA,AB4 Buy Signal,StochRSI %K
1471267800,218.89,219.5,217.02,218.54,188.45341259999995,188.45341259999995,65.58593049519268,0,0,97.59154115014951
1471872600,218.26,219.6,216.25,217.29,188.8331125499999,188.8331125499999,62.83453911177225,0,0,94.00124436068934
1472477400,217.44,218.87,216.03,218.37,189.21716254999993,189.21716254999993,64.23074668264374,0,0,92.83276958385561
1473168600,218.7,219.22,213.25,213.28,189.5927625499999,189.5927625499999,53.944909512684006,0,0,84.31185361972955
1473687000,212.39,216.81,212.31,213.37,189.97776254999994,189.97776254999994,54.084920277321864,0,0,78.07478122513926
1474291800,214.13,217.53,213.03,215.99,190.35096249999992,190.35096249999992,58.080193814952544,0,0,74.28798727128088
1474896600,215.02,217.12,213.62,216.3,190.7216874999999,190.7216874999999,58.539885616021735,0,0,79.09307875894996
1475501400,215.82,216.3,213.99,215.04,191.08481254999992,191.08481254999992,55.8586707232578,0,0,76.88435669342596
1476106200,216.155,216.7,211.21,213.12,191.4398870499999,191.4398870499999,51.95375167830261,0,0,56.88325677430791
1476711000,213.09,214.64,212.17,213.98,191.7958370999999,191.7958370999999,53.52107787316319,0,0,39.8056849785097
1477315800,215,215.32,211.71,212.54,192.15838709999989,192.15838709999989,50.54770046055071,0,0,23.87763210170827
1477920600,212.93,213.19,208.38,208.55,192.4692870999999,192.4692870999999,43.35972206017674,0,0,16.79428371919426
1478529000,211.45,218.31,211.3,216.42,192.8160370499999,192.8160370499999,56.49945592560127,0,0,29.675036843935363
1479133800,217.03,219.27,215.72,218.5,193.1668870499999,193.1668870499999,59.19384409960322,0,0,54.45632798573979
1479738600,219.17,221.56,219,221.52,193.52323704999992,193.52323704999992,62.796914338174155,0,0,87.18344743516575
1480343400,221.16,221.82,219.15,219.68,193.8654369999999,193.8654369999999,59.357996190774436,0,0,91.32332308239438
1480948200,220.65,226.53,220.42,226.51,194.2389869999999,194.2389869999999,66.6571679537563,0,0,94.55456599278165
1481553000,226.4,228.34,224.67,225.04,194.6036369999999,194.6036369999999,63.993290585115815,0,0,89.14470732755028
1482157800,225.25,226.57,224.92,225.71,194.9727369999999,194.9727369999999,64.68600835979294,0,0,90.06012944161967
1482849000,226.02,226.73,222.73,223.53,195.32983699999994,195.32983699999994,60.600769884492394,0,0,82.06412825651302
1483453800,225.04,227.75,223.8837,227.21,195.68868699999993,195.68868699999993,64.65837336062744,0,0,85.68804275217103
1483972200,226.91,227.45,224.955,227.05,196.04478699999993,196.04478699999993,64.34807870178626,0,0,87.92585170340682
1484663400,226.31,227.31,225.41,226.74,196.4004869499999,196.4004869499999,63.7101319587378,0,0,93.28657314629261
1485181800,226.35,229.71,225.27,228.97,196.7619869499999,196.7619869499999,66.29849941854744,0,0,94.01725000242713
1485786600,228.17,229.55,226.32,229.34,197.13289694999992,197.13289694999992,66.7226025127153,0,0,95.59334327351372
1486391400,228.87,231.77,228.31,231.51,197.49644694999992,197.49644694999992,69.17278894873303,0,0,97.84197014784532
1486996200,232.08,235.155,232.05,235.09,197.89449694999993,197.89449694999993,72.73894549882324,0,0,98.88691811996266
1487687400,235.52,236.9,235.41,236.74,198.2869968999999,198.2869968999999,74.2192379355234,0,0,99.16718188324272
1488205800,236.64,240.32,236.015,238.42,198.67225689999992,198.67225689999992,75.66798624860887,0,0,96.5989108394511
1488810600,237.5,238.12,235.74,237.69,199.04365689999992,199.04365689999992,73.72917805386604,0,0,92.30503342562612
1489411800,237.62,239.44,236.19,237.03,199.39410689999988,199.39410689999988,71.93458423708118,0,0,86.36838201436846
1490016600,237.03,237.61,232.96,233.86,199.7368668999999,199.7368668999999,63.890722713214586,0,0,77.1182328165368
1490621400,231.93,236.52,231.61,235.74,200.09834184999988,200.09834184999988,66.29768792741328,0,0,72.8444191775631
1491226200,235.8,237.39,233.91,235.2,200.4503418499999,200.4503418499999,64.95830035654443,0,0,68.69550114404441
1491831000,235.36,236.255,232.51,232.51,200.7970168499999,200.7970168499999,58.60649958269364,0,0,63.99403586430994
1492435800,233.11,235.845,232.88,234.59,201.17461679999988,201.17461679999988,61.72319015847764,0,0,59.98217973695477
1493040600,237.18,239.53,236.61,238.08,201.56291679999987,201.56291679999987,66.30719881054712,0,0,65.40446045452138
