time,open,high,low,close,CRS,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1760535000,98.4,98.555,98.23,98.25,6.5,0.3883963693609752,-0.09264266960447687,0.2344542246434287,0.32709689424790556,-0.4095557864105659,97.90963571285755,,17100,81446,46.161639886110045,0,-40,-60,10,30,50,,,,,,,,,,,98.70802908427295,,0,0,0,0,0,0,0,0,0,0,98.70802908427295,,-25,-10,-10,0,,,,98.33814204159329,,0,0,0,0,98.20529227503185,98.99985882352938,98.99985882352938,98.80191306623253,98.2097035344047,0,0,0,0,97.20296331783837,98.42367058823528,99.6443778586322,98.70802908427295,,0,0,0,0,98.60819498406217,99.29799999999993,99.29799999999993,98.80191306623253,98.2097035344047,0,0,0,0,,,,,58.295435998794034,,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.0530045365620357,15.327039477569238,7,
1760549400,98.37,98.58,98.25,98.58,6.5,0.38422520012090544,-0.09725751881444789,0.20552499572984573,0.3027825145442936,-0.4145845121470198,97.90963571285755,,7975,89421,51.709528711916796,0,-40,-60,10,30,50,,,,,,,,,,,98.70802908427295,,0,0,0,0,0,0,0,0,0,0,98.70802908427295,,0,15,15,0,,,,98.33814204159329,,0,0,0,0,98.23201255884989,99.02745882352946,99.82290508820903,98.7351954499658,98.2097035344047,0,0,0,0,97.25130330822262,98.47581176470588,99.70032022118914,98.70802908427295,,0,0,0,0,98.54203362300285,99.16421176470588,99.16421176470588,98.7351954499658,98.2097035344047,0,0,0,0,,,,,,,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.0530045365620357,15.372612269381145,7,
1760621400,98.5,98.5,97.27,97.44,6.5,0.45035197154084095,-0.17056416418922965,0.08957730930775654,0.2601414734969862,-0.43772473873554385,,99.28981600791474,35406,54015,37.37954892770278,0,-40,-60,10,30,50,,,,,,,,,,,98.70802908427295,,0,0,0,0,0,0,0,0,0,0,98.70802908427295,,-25,-10,-10,0,,,,98.33814204159329,,0,0,0,0,98.16752598116132,98.96089411764713,98.96089411764713,98.55487405378092,98.2097035344047,0,0,0,0,97.25130330822262,98.47581176470588,99.70032022118914,98.70802908427295,,0,0,0,0,98.349722103336,98.92738823529409,98.92738823529409,98.55487405378092,98.2097035344047,0,0,0,0,,,,,46.218217230999755,,-0.001045000000000001,-0.0008360000000000008,-0.0006270000000000006,-0.0004180000000000004,-0.0002090000000000002,-0.001045000000000001,0,2.0050483350942794,14.690319872334157,7,
1760635800,97.5,97.55,97.14,97.14,5.5,0.44746968785935204,-0.2290870532962456,-0.026217343123320802,0.2028697101729248,-0.4684534997749907,,98.73233440712326,19959,34056,34.6576313932308,-15,-40,-60,10,30,50,,,,,,,,,,,97.99746968785935,,0,0,0,0,0,0,0,0,0,0,97.99746968785935,,-50,-15,-15,0,,,,98.33814204159329,,0,0,0,0,98.0760680854095,98.87350588235293,98.87350588235293,97.82450875045397,98.2097035344047,0,0,0,0,97.23608464519619,98.45967058823527,98.45967058823527,97.99746968785935,,0,0,0,0,98.02493586081997,98.60305882352937,98.60305882352937,97.82450875045397,98.2097035344047,0,0,0,0,,,,,,,-0.001045000000000001,-0.0008360000000000008,-0.0006270000000000006,-0.0004180000000000004,-0.0002090000000000002,-0.001045000000000001,0,2.0050483350942794,14.66464928457805,7,
1760707800,97.3,97.31,96.75,97.1,5.5,0.4555075672979699,-0.25816117550548806,-0.1198317592089353,0.13832941629655277,-0.44831578682013634,,98.44660096641094,87912,-53856,34.29900205792585,-15,-40,-60,10,30,50,,,,,,,,,,,97.76550756729797,,0,0,0,0,0,0,0,0,0,0,97.76550756729797,,-25,-10,-10,0,,,,98.33814204159329,,0,0,0,0,97.98450964799434,98.78835294117647,98.78835294117647,97.4333264225853,98.2097035344047,0,0,0,0,97.23608464519619,98.45967058823527,98.45967058823527,97.76550756729797,,0,0,0,0,97.62312855971946,98.22823529411765,98.22823529411765,97.4333264225853,98.2097035344047,0,0,0,0,,,,,47.30676666091149,,-0.0025640000000000003,-0.0020512000000000004,-0.0015384000000000003,-0.0010256000000000002,-0.0005128000000000001,-0.0025640000000000003,0,1.9595770053045214,13.845215220209571,7,
1760722200,97.12,98.02,97.02,97.5,6.5,0.4943998839195434,-0.23858509399232966,-0.1599019511938593,0.07868314279847036,-0.40766085194187096,,98.44660096641094,31777,-22079,40.88646994255696,-15,-40,-60,10,30,50,,,,,,,,,,,97.76550756729797,,0,0,0,0,0,0,0,0,0,0,97.76550756729797,,5,5,5,0,,,,98.33814204159329,,0,0,0,0,97.92871565535187,98.73117647058827,98.73117647058827,97.4333264225853,98.2097035344047,0,0,0,0,97.25108593376724,98.47418823529416,98.47418823529416,97.76550756729797,,0,0,0,0,97.41567530609896,98.02334117647055,98.02334117647055,97.4333264225853,98.2097035344047,0,0,0,0,,,,,,,-0.0025640000000000003,-0.0020512000000000004,-0.0015384000000000003,-0.0010256000000000002,-0.0005128000000000001,-0.0025640000000000003,0,1.9595770053045214,13.708806641419871,7,
1760967000,98.5,98.8,98.4,98.55,6.5,0.5519427493538616,-0.14751695266641224,-0.10571304803454495,0.04180390463186729,-0.4177153912479437,96.79255321720713,,28554,6475,53.9413231652286,-15,-40,-60,10,30,50,,,,,,,,,,,97.84805725064615,,0,0,0,0,0,0,0,0,0,0,97.84805725064615,,25,10,10,0,,,,98.33814204159329,,0,0,0,0,97.94323664146478,98.73567058823541,99.52810453500604,98.07959975126356,98.2097035344047,0,0,0,0,97.25108593376724,98.47418823529416,98.47418823529416,97.84805725064615,,0,0,0,0,97.37601088880469,97.96797647058823,98.55994205237177,98.07959975126356,98.2097035344047,0,0,0,0,,,,,58.37567273060572,,-0.00012500000000000033,-0.00010000000000000026,-0.0000750000000000002,-0.00005000000000000013,-0.000025000000000000066,-0.00012500000000000033,0,1.9666782588748468,13.726370821805547,7,
1760981400,98.57,98.7,98.21,98.58,6.5,0.5475182672571578,-0.08117071185176124,-0.05965948518283426,0.02151122666892698,-0.37324774867966953,96.79255321720713,,4453,10928,54.25218833290072,-15,-40,-60,10,30,50,,,,,,,,,,,97.84805725064615,,0,0,0,0,0,0,0,0,0,0,97.84805725064615,,10,-5,-5,0,,,,98.33814204159329,,0,0,0,0,97.95697598900438,98.73741176470583,99.51784754040727,98.12654264267114,98.2097035344047,0,0,0,0,97.34422007295584,98.58028235294121,99.81634463292659,97.84805725064615,,0,0,0,0,97.38596500118551,97.97503529411746,98.56410558704941,98.12654264267114,98.2097035344047,0,0,0,0,,,,,,,-0.00012500000000000033,-0.00010000000000000026,-0.0000750000000000002,-0.00005000000000000013,-0.000025000000000000066,-0.00012500000000000033,0,1.9666782588748468,13.632003289752568,7,
1761053400,98.65,98.76,98.43,98.68,6.5,0.5319812481673607,-0.029145417971545455,-0.014920545795504836,0.014224872176040619,-0.2918627332261037,96.89966810593778,,16770,27698,55.33436349209927,-15,-40,-60,10,30,50,,,,,,,,,,,97.89801875183265,,0,0,0,0,0,0,0,0,0,0,97.89801875183265,,10,10,10,0,,,,98.33814204159329,,0,0,0,0,97.98012854000932,98.75809411764698,99.53605969528464,98.12654264267114,98.2097035344047,0,0,0,0,97.34422007295584,98.58028235294121,99.81634463292659,97.89801875183265,,0,0,0,0,97.426668542332,98.01155294117653,98.59643734002107,98.12654264267114,98.2097035344047,0,0,0,0,,,,,58.41422850883348,,-0.005321500000000002,-0.004257200000000001,-0.0031929000000000007,-0.0021286000000000005,-0.0010643000000000002,-0.005321500000000002,0,1.9992577911416487,14.080579524613558,7,
1761067800,98.62,98.68,98.56,98.605,5.5,0.5025540161554066,0.00007486907506094008,0.014318458519866795,0.014243589444805855,-0.27877213880476315,97.058201295344,,2771,24927,54.296957674491495,-7.5,-40,-60,10,30,50,,,,,,,,,,,98.0574459838446,,0,0,0,0,0,0,0,0,0,0,98.0574459838446,,30,-5,-5,0,,,,98.33814204159329,,0,0,0,0,97.99104115325497,98.75398823529409,99.5169353173332,98.23890799191301,98.2097035344047,0,0,0,0,97.46105720100647,98.70612941176473,99.951201622523,98.0574459838446,,0,0,0,0,97.48495527313663,98.05796470588244,98.63097413862825,98.23890799191301,98.2097035344047,0,0,0,0,,,,,,,-0.005321500000000002,-0.004257200000000001,-0.0031929000000000007,-0.0021286000000000005,-0.0010643000000000002,-0.005321500000000002,0,1.9992577911416487,14.066355772386965,7,
1761139800,98.7,98.7,98.31,98.49,5.5,0.4945144435728776,0.01091676671906932,0.027889547843642504,0.016972781124573184,-0.29194597684113466,97.058201295344,,22368,2559,52.666500184363564,-7.5,-40,-60,10,30,50,,,,,,,,,,,98.0574459838446,,0,0,0,0,0,0,0,0,0,0,98.0574459838446,,-10,-10,-10,0,,,,98.33814204159329,,0,0,0,0,97.99598088331227,98.75044705882345,99.50491323433464,98.23890799191301,98.2097035344047,0,0,0,0,97.46105720100647,98.70612941176473,99.951201622523,98.0574459838446,,0,0,0,0,97.51488797417214,98.08022352941177,98.6455590846514,98.23890799191301,98.2097035344047,0,0,0,0,,,,,53.067625272104586,,-0.012233999999999997,-0.009787199999999998,-0.007340399999999999,-0.004893599999999999,-0.0024467999999999994,-0.012233999999999997,0,1.9582764358031701,13.396962233660648,7,
1761154200,98.5,98.5,97.9,98.01,6.5,0.5020491261748145,-0.013647233068804493,-0.00008626021143243179,0.013560972857372061,-0.28581514364429794,97.058201295344,,16954,-14395,46.40311399553553,-7.5,-40,-60,10,30,50,,,,,,,,,,,98.0574459838446,,0,0,0,0,0,0,0,0,0,0,98.0574459838446,,-5,-5,-5,0,,,,98.33814204159329,,0,0,0,0,97.96380278749363,98.70819999999996,98.70819999999996,98.23890799191301,98.2097035344047,0,0,0,0,97.53286670502764,98.78101176470587,100.02915682438409,98.0574459838446,,0,0,0,0,97.51343301387098,98.06989411764705,98.06989411764705,98.23890799191301,98.2097035344047,0,0,0,0,,,,,,,-0.012233999999999997,-0.009787199999999998,-0.007340399999999999,-0.004893599999999999,-0.0024467999999999994,-0.012233999999999997,0,1.9582764358031701,13.304085013609463,7,
1761226200,98.3,98.42,98.15,98.37,6.5,0.4954741885908989,-0.005477335570261173,0.0067143033945455954,0.012191638964806769,-0.25583089884226623,97.058201295344,,14456,61,51.10019258236204,-7.5,-40,-60,10,30,50,,,,,,,,,,,98.0574459838446,,0,0,0,0,0,0,0,0,0,0,98.0574459838446,,-10,-10,-10,0,,,,98.33814204159329,,0,0,0,0,97.96865828406375,98.71169411764704,99.45472995123033,98.23890799191301,98.2097035344047,0,0,0,0,97.53286670502764,98.78101176470587,100.02915682438409,98.0574459838446,,0,0,0,0,97.55192480193016,98.09495294117637,98.63798108042259,98.23890799191301,98.2097035344047,0,0,0,0,,,,,57.61752306380778,,0.004926,0.0039407999999999995,0.0029556,0.0019703999999999998,0.0009851999999999999,0,0.004926,1.9410741377772698,12.967705119261872,7,
1761240600,98.4,98.66,98.38,98.66,6,0.4807974608344056,0.01832650254792807,0.035099767149716854,0.016773264601788785,-0.21180756258952033,97.0665108698752,,7287,7348,54.55522707083933,-7.5,-40,-60,10,30,50,,,,,,,,,,,98.0574459838446,,0,0,0,0,0,0,0,0,0,0,98.0574459838446,,-5,-5,-5,0,,,,98.33814204159329,,0,0,0,0,97.98562340707437,98.72620000000005,99.46677659292573,98.23890799191301,98.2097035344047,0,0,0,0,97.64303029165985,98.90222352941171,100.16141676716357,98.0574459838446,,0,0,0,0,97.59367491103254,98.13445882352944,98.67524273602635,98.23890799191301,98.2097035344047,0,0,0,0,,,,,,,0.004926,0.0039407999999999995,0.0029556,0.0019703999999999998,0.0009851999999999999,0,0.004926,1.9410741377772698,12.855335399529976,7,
1761312600,98.75,98.89,98.63,98.72,6,0.46502621363194846,0.03596172275418277,0.061725418044517255,0.025763695290334482,-0.1701987474975959,97.37385978288768,,29522,36870,55.259568672656975,-7.5,-40,-60,10,30,50,,,,,,,,,,,98.16497378636805,,0,0,0,0,0,0,0,0,0,0,98.16497378636805,,5,-10,-10,0,,,,98.33814204159329,,0,0,0,0,98.00736753732032,98.74778823529421,99.4882089332681,98.32269598233859,98.2097035344047,0,0,0,0,97.64303029165985,98.90222352941171,100.16141676716357,98.16497378636805,,0,0,0,0,97.64343294777424,98.18598823529408,98.72854352281391,98.32269598233859,98.2097035344047,0,0,0,0,,,,,57.93690643924068,,0.0036284999999999998,0.0029027999999999997,0.0021770999999999995,0.0014513999999999998,0.0007256999999999999,0,0.0036284999999999998,1.985258204195514,13.456159605572644,7,
