time,open,high,low,close,cycle_day,dcl_event,dcl_price,translation,timing_code,cycle_fail,degree,Cycle low,MA,STH MVRV,MVRV SMA
1115040600,92.14999,95.05,90.81,95,12,0,,,1,0,3,0,,,
1117632600,95.2,97,93.33,96.7,13,0,,,1,0,3,0,,,
1120224600,96.03999,96.25999,92.67999,93.11,14,0,,,1,0,3,0,,,
1122903000,92.5,96,91.28,95.99001,15,0,,,1,0,3,0,,,
1125581400,95.31,95.74001,91.88,92.2,16,0,,,1,0,3,0,,,
1128346200,91.78999,92.08,89.12,89.78,17,0,,,1,0,3,0,,,
1130855400,89.42999,91.14,87.86,90,18,0,,,2,0,3,0,,,
1133447400,90,92.59,88.85001,91.89999,19,0,,,2,0,3,0,,,
1136298600,91.59,92.76849,90.05,90.67,20,0,,,2,0,3,0,,,
1138804200,90.14999,91.45,89.72,91.35001,21,0,,,2,0,3,0,,,
1141223400,90.77,90.87,86.59,86.87,22,0,,,2,0,3,0,,,
1144071000,86.17999,86.89999,83.64999,84.16,23,0,,,2,0,3,0,,,
1146490200,83.67,85.14999,82.56261,83.67,24,0,,,2,0,3,0,,,
1149168600,83.39999,85.94,83.12,84.32001,25,0,,,2,0,3,0,,,
1151933400,83.89999,85.89,82.95,85.8,26,0,,,2,0,3,0,,,
1154439000,85.32001,88.2,85.03999,88.08,27,0,,,2,0,3,0,,,
1157117400,87.62,90.31,86.72,89.39,28,0,,,2,0,3,0,,,
1159795800,89.10001,89.87,86.88,89.81,29,0,,,2,0,3,0,,,
1162391400,89.61,91.63,88.3,91.53,30,0,,,2,0,3,0,,,
1164983400,91.28,91.8,88.06,88.42999,31,0,,,2,0,3,0,,,
1167834600,89.22,89.64999,86.60001,87.55,32,0,,,2,0,3,0,,,
1170340200,87.64999,91.25999,87,90.14999,33,0,,,2,0,3,0,,,
1172759400,90.28,90.53999,88.22,88.28,34,0,,,2,0,3,0,,,
1175520600,88.11,88.82001,87.00999,88.75,35,0,,,2,0,3,0,,,
1178026200,88.58,89.00999,85.83,86.38,36,0,,,2,0,3,0,,,
1180704600,85.89999,86.84,82.2,85.17,37,1,82.2,-1,2,0,3,1,,,
1183383000,84.81,87.75,83.28,87.66,38,0,,,2,0,3,0,,,
1185975000,87.25999,89.2,85.72,88.88,39,0,,,2,0,3,0,,,
1188912600,88.83,91.27,87.10001,88.72,40,0,,,2,0,3,0,,,
1191245400,88.69,91.39,87.39999,89.98,41,0,,,2,0,3,0,,,
1193923800,89.96001,96.36,89.96001,94.38,5,0,,,0,0,3,0,,,
1196692200,94.75999,95.10001,90.28,93.045,6,0,,,0,0,3,0,,,
1199284200,93.25,98.16,93.2,94.99001,7,0,,,0,0,3,0,,,
1201876200,95,95.61,90.56,94.23,8,0,,,0,0,3,0,,,
1204554600,93.67,97.75,91.5,95.89,9,0,,,1,0,3,0,,,
1207056600,94.81,95.92,91.41,93.11501,10,0,,,1,0,3,0,,,
1209648600,93.44,93.64999,89.14,90.28,11,0,,,1,0,3,0,,,
1212413400,89.98,92.8192,88.59,92.34,12,1,88.59,0,1,0,3,1,,,
1214919000,92.69,93.75999,89.752,91.67,13,0,,,1,0,3,0,,,
1217597400,90.97,94.41,89.82001,93.84,14,0,,,1,0,3,0,,,
1220362200,92.98,100.86,92.60001,94.88,15,0,,,1,0,3,0,,,
1222867800,96.03999,99.94,92.64999,92.83,16,0,,,1,0,3,0,,,
1225722600,92.72,105.97,92.35001,105.72,5,0,,,0,0,3,0,,,
1228141800,107.75,123.14999,107.13,119.35001,6,0,,,0,0,3,0,,,
1230906600,120.05,120.45,103.44,103.75,7,0,,,0,0,3,0,,,
1233585000,104.02,106.67999,101.06,101.88,8,0,,,0,0,3,0,,,
1236004200,102.22,108.07001,100.3876,105.71001,9,0,,,1,0,3,0,,,
