time,open,high,low,close,S1 fair (MVRV 1.0x),S1 deep (MVRV 0.5x),S1 LOI floor,S3 VWAP upper,S3 VWAP lower,S3 LOI ceiling,S3 Early,S3 Watch,S3 Terminal-probable,S3 Terminal-confirmed,S1 Early,S1 Confirmed,STH MVRV,MVRV SMA
1752859800,428.52,429.77,422.31,423.12,,,,,,,0,0,0,0,0,0,1.1407678626561666,
1753104600,430,437,425.55,431.2,,,,,,,0,0,0,0,0,0,1.1603196243422682,
1753119000,431.37,433.86,425.02,425.96,,,,,,,0,0,0,0,0,0,1.1442034492230453,
1753191000,428.845,433.9,413.6,422.46,,,,,,,0,0,0,0,0,0,1.1322531147581802,
1753205400,422.4,430.2,422.21,426.23,,,,,,,0,0,0,0,0,0,1.1396626293697996,
1753277400,422.83,423.97,406.1,409.82,,,,,,,0,0,0,0,0,0,1.0935132980041975,
1753291800,409.765,413.21,407.58,412.8,,,,,,,0,0,0,0,0,0,1.0991085546629746,
1753363800,414.39,415.4,406.15,413.63,,,,,,,0,0,0,0,0,0,1.0991856144478214,
1753378200,413.68,419.95,413.39,414.87,,,,,,,0,0,0,0,0,0,1.1004273888211515,
1753450200,405.7,408.02,402.22,406.23,,,,,,,0,0,0,0,0,0,1.0757226435869467,
1753464600,406.12,410.9,405.31,405.74,,,,,,,0,0,0,0,0,0,1.0727294963810343,
1753709400,416.7,417.06,404.57,406.21,,,,,,,0,0,0,0,0,0,1.0716986007206097,
1753723800,406.14,407.42,403.47,403.75,,,,,,,0,0,0,0,0,0,1.0630107504964186,
1753795800,405.93,407.09,390.49,395.75,,,,397.77666666666664,397.77666666666664,,0,1,0,0,0,0,1.0399145097158993,
1753810200,395.72,400.8,393.32,394.65,,,,398.70239671677956,395.833062766712,,0,0,0,0,0,0,1.0352437184645478,
1753882200,396.38,403.77,394.38,402.39,,,,401.10116517734645,395.22157426858024,,0,0,0,0,0,0,1.0531883286231203,
1753896600,402.49,404.36,392.58,395.07,,,,400.6848257530347,395.2905436344065,,0,0,0,0,0,0,1.0318168748034355,
1753968600,398.84,410.53,397.03,406.52,,,,406.2488810345131,393.418416685213,,0,0,0,0,0,0,1.0589764966093664,
1753983000,406.31,410.8,401.65,401.72,,,,407.49269570058027,393.7248531043716,,0,0,0,0,0,0,1.0436005665952655,
1754055000,390.39,392.58,373.59,374.72,,,,413.9117461145027,374.4383501159644,,0,0,0,0,0,0,0.9717579743486721,
1754069400,374.64,376.24,365.73,366.59,,,,415.6483317818217,362.20778582738404,,0,0,0,0,0,0,0.949551318371235,
1754314200,372.77,387.72,366.21,385.86,,,,413.27286217155455,362.1132159342821,,0,0,0,0,0,0,0.9975723825552806,
1754328600,385.67,390.01,384.18,389.19,,,,412.51988875020305,362.8779145945513,,0,0,0,0,0,0,1.0042281177613657,
1754400600,384.05,388.31,375.1,377.49,,,,411.343760096726,362.95477258088454,,0,0,0,0,0,0,0.9727308130466172,
1754415000,377.23,378.79,373.35,375.39,,,,410.7819336744803,362.56048184135756,,0,0,0,0,0,0,0.966103134385592,
1754487000,374.75,380.74,373.03,380.24,,,,409.759026280015,362.39907229105523,,0,0,0,0,0,0,0.9773824060984663,
1754501400,380.28,384.42,379.5,383.38,,,,409.2108570367302,362.67158323135493,,0,0,0,0,0,0,0.9842780106400063,
1754573400,387.93,406.25,387.14,400.51,,,,410.5041986018768,364.10444114315607,,0,0,0,0,0,0,1.0267371710262179,
1754587800,400.85,405,396.7,402.18,,,,411.65956528907265,364.7288678611405,,0,0,0,0,0,0,1.0294583807943563,
1754659800,397.61,409.65,389.05,393.75,,,,412.0639780967,366.14074313727895,,0,0,0,0,0,0,1.0066111208376192,
1754674200,393.69,395.73,391.12,395.3,,,,411.8919249120954,366.68650000237017,,0,0,0,0,0,0,1.0091836427969367,
1754919000,403.77,414.15,402.83,405.5,,,,413.76321020658656,366.80073107849773,,0,0,0,0,0,0,1.0336353944782055,
