time,open,high,low,close,Plot,S3 Early,S3 Confirmed,S1 Early,S1 Confirmed
1764599400,168.24,168.28,155.61,162.35,162.35,0,0,0,0
1764613800,162.355,172.17,160.83,171.5,171.5,0,0,0,0
1764685800,178.06,184.99,176.9,184.05,184.05,0,0,0,0
1764700200,184.02,188.37,181.26,181.32,181.32,0,0,0,0
1764772200,183.255,190.38,179.03,185.97,185.97,0,0,0,0
1764786600,186,189.47,183.85,188.37,188.37,0,0,0,0
1764858600,186.34,190.99,183.74,187.42,187.42,0,0,0,0
1764873000,187.35,187.73,182.38,186.01,186.01,0,0,0,0
1764945000,183.56,185.38,176.35,180.03,180.03,0,0,0,0
1764959400,180.02,181.09,177.62,179.06,179.06,0,0,0,0
1765204200,181.96,185.55,178.01,182.76,182.76,0,0,0,0
1765218600,182.71,184.01,180.9,183.7,183.7,0,0,0,0
1765290600,181.49,198.38,179.93,193.35,193.35,0,0,1,0
1765305000,193.4,194.72,188.27,188.94,188.94,0,0,1,0
1765377000,189.33,189.33,184.26,186.7,186.7,0,0,1,0
1765391400,186.55,191.07,182.2,184.54,184.54,0,0,1,0
1765463400,179.9,180.85,171.42,177.185,177.185,0,0,1,0
1765477800,177.16,183.51,176.28,183.34,183.34,0,0,1,0
1765549800,183.09,185.23,177.13,182,182,0,0,1,0
1765564200,181.89,182.64,176.22,176.46,176.46,0,0,1,0
1765809000,176.02,176.45,161.61,161.9,161.9,0,0,1,0
1765823400,161.86,165.43,160.55,162.1,162.1,0,0,1,0
1765895400,165,171.45,161.99,164,164,0,0,1,0
1765909800,164,168.6,163.24,167.47,167.47,0,0,1,0
1765981800,167.745,171.1,163.55,164.12,164.12,0,0,1,0
1765996200,164.1,164.37,160.31,160.41,160.41,0,0,1,0
1766068200,167.62,169.51,159.79,161.57,161.57,0,0,1,0
1766082600,161.64,162.83,157.44,158.29,158.29,0,0,1,0
1766154600,163.39,167.74,161.64,164.6,164.6,0,0,1,0
1766169000,164.5,166.11,162.8,164.43,164.43,0,0,1,0
1766413800,168.93,170.63,164.92,166.23,166.23,0,0,1,0
1766428200,166.27,166.46,163.69,164.24,164.24,0,0,1,0
1766500200,162.25,162.73,156.72,158.36,158.36,0,0,1,0
1766514600,158.39,159.19,156.51,157.88,157.88,0,0,1,0
1766586600,157.2,159.28,155.09,158.69,158.69,0,0,1,0
1766759400,159.89,159.89,154.13,157.23,157.23,0,0,1,0
1766773800,157.32,159.26,156.87,158.82,158.82,0,0,1,0
1767018600,157.9,162.92,155.86,156.7,156.7,0,0,1,0
1767033000,156.72,157.27,155.33,155.33,155.33,0,0,1,0
1767105000,155.89,159.38,154.16,157.24,157.24,0,0,1,0
1767119400,157.27,157.65,155.5,155.5,155.5,0,0,1,0
1767191400,156.17,156.74,152.53,154.215,154.215,0,0,1,0
1767205800,154.18,154.68,151.43,151.86,151.86,0,0,1,0
1767364200,154.6,160.76,149.79,157.67,157.67,0,0,1,0
1767378600,157.63,158.44,155.9,157.27,157.27,0,0,1,0
1767623400,163.16,167.68,160.98,161.52,161.52,0,0,1,0
1767637800,161.5,166.17,161.14,164.67,164.67,0,0,1,0
1767709800,166.805,167.1,154.95,155.46,155.46,0,0,1,0
1767724200,155.45,159.65,154.06,158.03,158.03,0,0,1,0
1767796200,163.51,170.12,158.47,161.34,161.34,0,0,1,0
1767810600,161.37,162.65,159.84,161.5,161.5,0,0,1,0
1767882600,158.635,170.6,156.2,169.4,169.4,0,0,0,0
1767897000,169.39,170.4,165.18,166.86,166.86,0,0,0,0
1767969000,166.72,167.2,155.47,158.77,158.77,0,0,0,0
1767983400,158.78,159.87,156.81,157.31,157.31,0,0,0,0
1768228200,156.15,161.98,154.69,160.83,160.83,0,0,0,1
1768242600,160.82,163.82,159.93,162.24,162.24,0,0,0,0
1768314600,164.445,169.9,160.73,169.86,169.86,0,0,0,0
1768329000,169.88,173.76,168.95,173.22,173.22,0,0,0,0
1768401000,178.43,190.2,176.8,179.17,179.17,0,0,0,0
1768415400,179.18,180.54,176.12,179.22,179.22,0,0,0,0
1768487400,179.125,179.22,170.1,175.32,175.32,0,0,0,0
1768501800,175.325,175.75,170.79,170.9,170.9,0,0,0,0
1768573800,171.96,173.88,167.62,171.82,171.82,0,0,0,0
1768588200,171.89,173.86,170.7,173.72,173.72,0,0,0,0
1768919400,165.17,165.72,158.85,160.97,160.97,0,0,0,0
1768933800,160.99,163.03,159.45,160.27,160.27,0,0,0,0
1769005800,161.27,164.16,156.02,158.97,158.97,0,0,0,0
1769020200,158.98,165.73,158.245,163.91,163.91,0,0,0,0
1769092200,163.725,164.64,159.47,162.62,162.62,0,0,0,0
1769106600,162.54,163.67,160.67,160.82,160.82,0,0,0,0
