time,open,high,low,close,VLT SRI Bias Histogram,LT SRI Bias Histogram,ST SRI Bias Histogram,VST SRI Bias Histogram,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4
1748367000,62.655,62.851,62.29,62.51,15,20,55,15,60.995507526524314,62.747839999999925,64.50017247347553,62.477891787287255,61.05233506111843,0,0,0,0,48.02346677603539,52.71884705882353,57.414227341611664,61.060115492954324,50.66280994453383,0,0,0,0,59.197051992084646,62.588600000000035,65.98014800791542,62.477891787287255,61.05233506111843,0,0,0,0,55.15698777635009,60.52510588235295,65.89322398835581,61.88115838111757,53.66968150653128,0,0,0,0
1748439000,61.84,62.029,60.82,61.18,10,0,35,-5,61.010357244749194,62.697327058823454,62.697327058823454,62.12870065141881,61.05233506111843,0,0,0,0,48.02346677603539,52.71884705882353,57.414227341611664,61.060115492954324,50.66280994453383,0,0,0,0,59.34223693280414,62.69638823529411,66.05053953778408,62.12870065141881,61.05233506111843,0,0,0,0,55.15698777635009,60.52510588235295,65.89322398835581,61.88115838111757,53.66968150653128,0,0,0,0
1748453400,61.17,61.34,60.76,60.77,-5,10,20,-20,61.013936089841756,62.671731764705875,62.671731764705875,61.85319086780499,61.05233506111843,0,0,0,0,48.4930021237157,53.30877647058823,58.12455081746076,61.060115492954324,50.66280994453383,0,0,0,0,59.45510477031844,62.76092941176476,66.06675405321107,61.85319086780499,61.05233506111843,0,0,0,0,55.54373857919987,60.99990588235296,66.45607318550606,61.88115838111757,53.66968150653128,0,0,0,0
1748525400,61.57,61.61,60.44,60.51,-10,10,15,-25,60.98018969180842,62.60393647058824,62.60393647058824,61.85198600336248,61.05233506111843,0,0,0,0,48.4930021237157,53.30877647058823,58.12455081746076,61.060115492954324,50.66280994453383,0,0,0,0,59.55531816211388,62.836458823529426,66.11759948494498,61.85198600336248,61.05233506111843,0,0,0,0,55.54373857919987,60.99990588235296,66.45607318550606,61.88115838111757,53.66968150653128,0,0,0,0
1748539800,60.5,60.62,59.9,59.98,-5,10,20,-40,60.81622180119599,62.395776470588196,62.395776470588196,60.92487568657275,61.05233506111843,0,0,0,0,48.4930021237157,53.30877647058823,58.12455081746076,61.060115492954324,50.66280994453383,0,0,0,0,59.609997226242015,62.84685882352943,62.84685882352943,60.92487568657275,61.05233506111843,0,0,0,0,55.84815315265742,61.33263529411771,66.817117435578,61.73202662641901,53.66968150653128,0,0,0,0
1748611800,60.045,60.26,58.86,59,-10,10,-10,-25,60.53504172428245,62.03785176470579,62.03785176470579,60.89022444403466,61.05233506111843,0,0,0,0,48.4930021237157,53.30877647058823,58.12455081746076,61.060115492954324,50.66280994453383,0,0,0,0,59.58636783901055,62.754011764705915,62.754011764705915,60.89022444403466,61.05233506111843,0,0,0,0,55.84815315265742,61.33263529411771,66.817117435578,61.39259615310336,53.66968150653128,0,0,0,0
1748626200,59.01,59.62,58.98,59.44,-5,25,-5,-20,60.26589585561006,61.752632941176365,61.752632941176365,60.217923117560495,61.05233506111843,0,0,0,0,49.01465329379913,53.89362352941176,58.772593765024396,61.060115492954324,50.66280994453383,0,0,0,0,59.58816682677494,62.69422352941174,62.69422352941174,60.217923117560495,61.05233506111843,0,0,0,0,56.14198874566642,61.665200000000006,67.1884112543336,60.71741071359598,54.339968541779044,0,0,0,0
1748871000,59.07,59.52,58.88,59.36,-10,10,-10,-25,59.99415757683116,61.48762588235295,61.48762588235295,60.09356636157002,61.05233506111843,0,0,0,0,49.01465329379913,53.89362352941176,58.772593765024396,61.060115492954324,50.66280994453383,0,0,0,0,59.589411944407274,62.65785882352941,62.65785882352941,60.09356636157002,61.05233506111843,0,0,0,0,56.14198874566642,61.665200000000006,67.1884112543336,60.584738519767704,54.339968541779044,0,0,0,0
1748885400,59.365,59.55,59.15,59.38,-5,10,-5,-20,59.69299472101687,61.156265882352905,61.156265882352905,60.02753936278231,61.05233506111843,0,0,0,0,49.01465329379913,53.89362352941176,58.772593765024396,61.060115492954324,50.66280994453383,0,0,0,0,59.58281614079222,62.60787058823526,62.60787058823526,60.02753936278231,61.05233506111843,0,0,0,0,56.39717650942209,61.93407058823527,67.47096466704846,60.567257196927144,54.339968541779044,0,0,0,0
1748957400,59.97,60.77,59.72,60.335,-10,10,-10,-10,59.58905483593446,61.00832941176465,61.00832941176465,60.02753936278231,61.05233506111843,0,0,0,0,49.01465329379913,53.89362352941176,58.772593765024396,61.060115492954324,50.66280994453383,0,0,0,0,59.62243260149854,62.57681176470591,65.53119092791329,60.02753936278231,61.05233506111843,0,0,0,0,56.39717650942209,61.93407058823527,67.47096466704846,60.567257196927144,54.339968541779044,0,0,0,0
