time,open,high,low,close,cycle_day,dcl_event,dcl_price,translation,timing_code,cycle_fail,degree,Cycle low,MA,STH MVRV,MVRV SMA
1178026200,11.477,11.827,9.683009,10.382001,10,0,,,1,0,3,0,,,
1180704600,10.403,10.47,9.241,9.449001,11,0,,,1,0,3,0,,,
1183383000,9.423,9.786,7.289,7.311,12,0,,,1,1,3,0,,,
1185975000,7.286,7.65,6.077,6.924001,13,1,6.077,0,1,1,3,1,,,
1188912600,6.914,7.999001,6.548,7.934,14,0,,,1,0,3,0,,,
1191245400,7.923,10.798,7.885001,9.833,15,0,,,1,0,3,0,,,
1193923800,10.047,11.239,9.617999,10.085001,16,0,,,1,0,3,0,,,
1196692200,10.188,10.674001,8.996001,9.510001,17,0,,,1,0,3,0,,,
1199284200,9.614999,9.614999,6.625,7.292,5,0,,,0,0,3,0,,,
1201876200,7.381,7.384,6.425,6.652,6,0,,,0,0,3,0,,,
1204554600,6.642999,7.63999,6.481,7.399001,7,0,,,0,0,3,0,,,
1207056600,7.537,9.092999,7.405,8.873,8,0,,,0,0,3,0,,,
1209648600,8.857001,9.098,7.239999,7.961,9,0,,,1,0,3,0,,,
1212413400,7.92,8.039999,6.467999,6.475,10,0,,,1,0,3,0,,,
1214919000,6.43,6.642,5.864,6.044,11,0,,,1,1,3,0,,,
1217597400,6.066,6.759,5.35,6.416,12,0,,,1,0,3,0,,,
1220362200,6.503999,6.635001,5.438,5.953,13,0,,,1,1,3,0,,,
1222867800,5.889999,5.995,3.771001,3.937,14,0,,,1,1,3,0,,,
1225722600,3.908,4.050999,3.055,3.567999,15,1,3.055,-1,1,1,3,1,,,
1228141800,3.484,3.753999,3.172,3.713,16,0,,,1,1,3,0,,,
1230906600,3.72,4.148,3.539999,3.87,17,0,,,1,1,3,0,,,
1233585000,4.089999,4.25799,3.6,3.653,18,0,,,2,1,3,0,,,
1236004200,3.595,3.778,3.245,3.419,19,0,,,2,1,3,0,,,
1238592600,3.389999,4.034,3.367999,3.891,5,0,,,0,0,3,0,,,
1241184600,3.894,4.714999,3.861,4.68,6,0,,,0,0,3,0,,,
1243863000,4.7,5.245,4.6,5.022,7,0,,,0,0,3,0,,,
1246455000,4.700999,6.307001,4.700999,6.092,8,0,,,0,0,3,0,,,
1249306200,6.136,6.495,6.0321,6.175,9,0,,,1,0,3,0,,,
1251811800,6.216,7.303,6.181,7.153999,10,0,,,1,0,3,0,,,
1254403800,7.142,9.178,6.87,8.727,11,0,,,1,0,3,0,,,
1257172200,8.817,9.211,8.372,8.757001,12,0,,,1,0,3,0,,,
1259677800,8.805,9.659,8.234,9.402,13,0,,,1,0,3,0,,,
1262615400,9.447,10.686,9.05,9.372,14,0,,,1,0,3,0,,,
1265034600,9.409,9.766,7.725,8.862,15,0,,,1,0,3,0,,,
1267453800,8.910001,9.153999,8.430499,8.507001,16,0,,,1,0,3,0,,,
1270128600,8.595,9.072,7.619,7.660001,17,0,,,1,0,3,0,,,
1272893400,7.639,7.891,6.6,7.706,18,1,6.6,1,2,0,3,1,,,
1275399000,7.644,8.102,7.128999,7.509,19,0,,,2,0,3,0,,,
1277991000,7.48,8.347,7.367999,8.299001,20,0,,,2,0,3,0,,,
1280755800,8.400999,8.523,7.242,7.792999,21,0,,,2,0,3,0,,,
1283347800,7.853,8.880949,7.813,8.661,22,0,,,2,0,3,0,,,
1285939800,8.722,9.17,8.539999,9.063,5,0,,,0,0,3,0,,,
1288618200,9.057001,9.174001,7.7,8.655,6,0,,,0,0,3,0,,,
1291213800,8.760001,8.964999,8.400999,8.547,7,0,,,0,0,3,0,,,
1294065000,8.633,11.527,8.55,10.636,8,0,,,0,0,3,0,,,
1296570600,10.62,11.986,10.603999,11.885001,9,0,,,1,0,3,0,,,
1298989800,11.966,13.625,11.189,13.448,10,0,,,1,0,3,0,,,
1301664600,13.548,14.135001,12.450999,14.13,11,0,,,1,0,3,0,,1.2020332715916195,
1304343000,14.198,14.939999,12.822,14.619,12,0,,,1,0,3,0,,1.2432952114625215,
1306935000,14.567999,16.482001,13.809,16.267999,13,0,,,1,0,3,0,,1.38485291620627,
1309527000,16.283,17.858,15.606,15.937,14,0,,,1,0,3,0,,1.3556757063766811,
1312205400,16.178999,16.405,10.547,12.288,15,0,,,1,0,3,0,,1.0489948393748711,
1314883800,12.321001,12.487,10.0864,11.407001,16,1,10.0864,1,1,0,3,1,,0.9742050063083845,
1317648600,11.416,14.398,10.431,13.177,17,0,,,1,0,3,0,,1.1241766198230965,
1320154200,11.997,13.469,10.610001,12.313,18,0,,,2,0,3,0,,1.0524567090734658,
