time,open,high,low,close,STH MVRV,MVRV SMA,VLT SRI Bias Histogram,LT SRI Bias Histogram,ST SRI Bias Histogram,VST SRI Bias Histogram,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Deep Acc Signal,Acc Signal,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled
1760031000,319.7,322.9,318.22,320.47,1.3762606367193047,,15,-10,15,-10,-2.7032181945076057,-60,-80,40,60,80,,,,,,,,,333.65409233284976,377.2409122614349,0,0,0,0,0
1760103000,323.175,323.32,303.46,310.87,1.3762606367193047,,-20,-15,-20,-45,-2.7032181945076057,-60,-80,40,60,80,,,,,,,,,333.65409233284976,377.2409122614349,0,0,0,0,0
1760117400,311,312.38,304.65,304.67,1.3762606367193047,,-15,-15,-15,-40,-3.8151667199043633,-60,-80,40,60,80,,,,,,,,,323.52204900128373,377.2409122614349,0,0,0,0,0
1760362200,306.5,313.8,300.67,308.71,1.3762606367193047,,-10,-15,-10,-20,-3.8151667199043633,-60,-80,40,60,80,,,,,,,,,323.52204900128373,377.2409122614349,0,0,0,0,0
1760376600,308.59,315.95,308.3,315.37,1.3034349874286302,,5,-45,-20,-45,-8.701290738657704,-60,-80,40,60,80,,,,,,,,,323.52204900128373,377.2409122614349,0,0,0,0,0
1760448600,301.055,312.69,297.31,312.4,1.3034349874286302,,-20,-25,-30,-55,-8.701290738657704,-60,-80,40,60,80,,,,,,,,,323.52204900128373,377.2409122614349,0,0,0,0,0
1760463000,312.51,312.55,300.38,300.65,1.3034349874286302,,-30,-40,-40,-55,-19.895710583372175,-60,-80,40,60,80,,,,,,,,,323.52204900128373,377.2409122614349,0,0,0,0,0
1760535000,303.59,308.88,294.67,296.33,1.3034349874286302,,-10,-25,-20,-50,-20.03889249932305,-60,-80,40,60,80,,,,,,,,,320.6412982496758,377.2409122614349,0,0,0,0,0
1760549400,296.38,300.35,295.64,296.64,1.3034349874286302,,-15,-40,-40,-70,-21.998531595747632,-60,-80,40,60,80,,,,,,,,,311.6076340889847,377.2409122614349,0,0,0,0,0
1760621400,300.015,301.51,285.53,292.91,1.3034349874286302,,-10,-25,-20,-60,-21.998531595747632,-60,-80,40,60,80,,,,,,,,,311.6076340889847,377.2409122614349,0,0,0,0,0
1760635800,292.79,293.49,282.17,283.83,1.1656560474236377,,-40,-45,-80,-80,-25.04193539207469,-60,-80,40,60,80,,,,,,,,,305.06530694407354,377.2409122614349,0,0,0,0,0
1760707800,279.02,290.16,278.97,287.36,1.1656560474236377,,-20,-25,-35,-45,-25.208814259237926,-60,-80,40,60,80,,,,,,,,,301.7077850194969,377.2409122614349,0,0,0,0,0
1760722200,287.49,292.8,286.89,289.73,1.1656560474236377,,-25,-80,-65,-65,-27.832038013930497,-60,-80,40,60,80,,,,,,,,,301.7077850194969,359.0742010472995,0,0,0,0,0
1760967000,297.48,306.16,294.4,300.63,1.1656560474236377,,-20,-40,-45,-35,-27.832038013930497,-60,-80,40,60,80,,,,,,,,,301.7077850194969,359.0742010472995,0,0,0,0,0
1760981400,300.68,300.68,296.4,296.51,1.1656560474236377,,-40,-40,-50,-40,-26.32890422735979,-60,-80,40,60,80,,,,,,,,,301.7077850194969,359.0742010472995,0,0,0,0,0
1761053400,293.675,305.95,291.62,302,1.1656560474236377,,-20,-40,-20,-20,-26.32890422735979,-60,-80,40,60,80,,,,,,,,,301.7077850194969,359.0742010472995,0,0,0,0,0
1761067800,302.08,303.16,299.96,301.92,1.2319113883999806,,-15,-45,-55,-15,-25.612252320531105,-60,-80,40,60,80,,,,,,,,,301.7077850194969,359.0742010472995,0,0,0,0,0
1761139800,293.76,297.96,283.22,283.71,1.2319113883999806,,-20,-15,-35,-10,-25.612252320531105,-60,-80,40,60,80,,,,,,,,,301.7077850194969,359.0742010472995,0,0,0,0,0
1761154200,283.63,284.4,276.68,280.805,1.2319113883999806,,-25,-15,-40,-40,-25.035748662380946,-60,-80,40,60,80,,,,,,,,,295.390382009294,359.0742010472995,0,0,0,0,0
1761226200,285.5,288.22,278.71,285.66,1.2319113883999806,,-10,-15,-35,-20,-25.035748662380946,-60,-80,40,60,80,,,,,,,,,295.390382009294,359.0742010472995,0,0,0,0,0
1761240600,285.86,289,283.09,284.905,1.2319113883999806,,-15,-40,-55,-65,-24.840639547904658,-60,-80,40,60,80,,,,,,,,,295.390382009294,359.0742010472995,0,0,0,0,0
1761312600,290.55,292.14,286.09,288.24,1.2319113883999806,,-10,-25,-20,-45,-24.840639547904658,-60,-80,40,60,80,,,,,,,,,295.390382009294,359.0742010472995,0,0,0,0,0
1761327000,288.13,290.33,287.6,289.06,1.1724011380983692,,-60,-60,-55,-50,-22.3350554280324,-60,-80,40,60,80,,,,,,,,,295.390382009294,348.315329543921,0,0,0,0,0
1761571800,299.51,299.835,293.02,296.89,1.1724011380983692,,-20,-40,-35,-35,-22.3350554280324,-60,-80,40,60,80,,,,,,,,,295.390382009294,348.315329543921,0,0,0,0,0
