time,open,high,low,close,CRS,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score,MVRV,Z-score,Plot,Plot,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution
1759339800,1.018276527908752,1.026544704510806,1.018276527908752,1.0262780269058296,1.5,0.006453319945647678,0.003874493657838718,0.0023551498032090556,-0.0015193438546296622,-0.00404976165979915,1.0024601659284105,,1148118,1542598,72.01971007225865,-0.8282199492284952,-40,-60,10,30,50,,,,,,,,,,,1.0118232079631044,1.0585826349593832,0,0,0,0,0,0,0,0,0,0,1.0118232079631044,1.0585826349593832,30,20,20,0,0.9916264631123977,1.053260084367032,1.053260084367032,1.0008749344575263,0,0,0,0,0,0.986939712130926,0.9961118641772301,1.0052840162235341,1.0172943317322518,1.0003386701927233,0,0,0,0,0.9536954166576612,0.984714077616451,1.0157327385752408,1.0118232079631044,1.0585826349593832,0,0,0,0,0.9958159700758181,1.0040341073338266,1.012252244591835,1.0172943317322518,1.0003386701927233,0,0,0,0,,,,,,,2.114523734107681,5.1658038854442845,,,0,-0.8282199492284952,0,0,0,0,0,0,0
1759411800,1.030680900690769,1.0315553563424473,1.0220548682087143,1.0236368520010743,1.5,0.006670974816225204,0.0041549771969183165,0.003674377641518234,-0.00048059955540008287,-0.03112707434253582,1.0059995605822292,,1686335,-143737,68.64273865713176,-0.7651517960242603,-40,-60,10,30,50,,,,,,,,,,,1.015383893392489,1.0585826349593832,0,0,0,0,0,0,0,0,0,0,1.015383893392489,1.0585826349593832,25,15,15,0,0.9916264631123977,1.053260084367032,1.053260084367032,1.0008749344575263,0,0,0,0,0,0.9886015505378605,0.998070610088975,1.0075396696400896,1.018746863015543,1.0003386701927233,0,0,0,0,0.9536954166576612,0.984714077616451,1.0157327385752408,1.015383893392489,1.0585826349593832,0,0,0,0,0.9978112487264429,1.0071543811276635,1.016497513528884,1.018746863015543,1.0003386701927233,0,0,0,0,,,,,59.947363790072004,,2.1908473557772012,5.539141701628664,,,0,-0.7651517960242603,0,0,0,0,0,0,0
1759426200,1.0248903214253737,1.0293156693371526,1.0248903214253737,1.0277578796561604,1.5,0.006600106424786134,0.004380343966791365,0.004994830403089123,0.0006144864362977584,0.030373857020033812,1.0066743536564233,,948199,804462,70.93292293075109,-0.7136739724210599,-40,-60,10,30,50,,,,,,,,,,,1.0182902150005877,1.0585826349593832,0,0,0,0,0,0,0,0,0,0,1.0182902150005877,1.0585826349593832,50,20,35,15,0.9904844275817193,1.0492930565823242,1.108101685582929,1.0109201794464904,0,0,0,0,0,0.9902978812125959,1.0002616467571035,1.010225412301611,1.023013869085875,1.006670648918067,0,0,0,0,0.9557676230282426,0.9862891893096741,1.0168107555911057,1.0182902150005877,1.0585826349593832,0,0,0,0,1.0003226311931772,1.0110637630576664,1.0218048949221556,1.023013869085875,1.006670648918067,0,0,0,0,,,,,,,2.1908473557772012,5.536947451313564,,,0,-0.7136739724210599,0,0,0,0,0,0,0
1759498200,1.03443026639803,1.0460532210375415,1.03443026639803,1.0460063611521748,1.5,0.007435480350257204,0.005450947924904382,0.007428171342428236,0.001977223417523854,0.06116662791562547,1.0163673637510156,,1703247,2507709,78.44148827743194,-0.5594954494180036,-40,-60,10,30,50,,,,,,,,,,,1.0269947860477728,1.0585826349593832,0,0,0,0,0,0,0,0,0,0,1.0269947860477728,1.0585826349593832,30,15,15,0,0.9904844275817193,1.0492930565823242,1.108101685582929,1.0109201794464904,0,0,0,0,0,0.9923105077289058,1.0038116501181211,1.0153127925073364,1.0384735222170647,1.006670648918067,0,0,0,0,0.9557676230282426,0.9862891893096741,1.0168107555911057,1.0269947860477728,1.0585826349593832,0,0,0,0,1.0035733250724224,1.0171567454827155,1.0307401658930087,1.0384735222170647,1.006670648918067,0,0,0,0,,,,,65.12142723856402,,2.222440627436381,5.688757152348893,,,0,-0.5594954494180036,0,0,0,0,0,0,0
1759512600,1.0455156347997492,1.046360582306831,1.038640846333154,1.038640846333154,2.5,0.0074557843233586125,0.005348158130273424,0.008662421080365634,0.0033142629500922103,0.044679262193926685,1.0186978515577962,,1124613,1383096,70.52291537206452,-0.4852757600964079,-40,-60,10,30,50,,,,,,,,,,,1.0311850620097953,1.0585826349593832,0,0,0,0,0,0,0,0,0,0,1.0311850620097953,1.0585826349593832,35,20,35,15,0.9904844275817193,1.0492930565823242,1.108101685582929,1.0227621480723457,0,0,0,0,0,0.9943282082466394,1.006717806843753,1.0191074054408666,1.0384735222170647,1.0195560033441924,0,0,0,0,0.957379026445524,0.9879061100214154,1.0184331935973068,1.0311850620097953,1.0585826349593832,0,0,0,0,1.0069998709202992,1.0222681956704522,1.0375365204206053,1.0384735222170647,1.0195560033441924,0,0,0,0,,,,,,,2.222440627436381,5.682578085459971,,,0,-0.4852757600964079,0,0,0,0,0,0,0
1759757400,1.0513166172373507,1.0513166172373507,1.0450418052683628,1.0461490069201043,2.5,0.00782864050770419,0.005452309957314917,0.010129650396735856,0.004677340439420939,-0.016193734219052652,1.0229539034956212,,1513377,2896473,73.46365959690661,-0.3785038153790042,-40,-60,10,30,50,,,,,,,,,,,1.0372131647606586,1.0585826349593832,0,0,0,0,0,0,0,0,0,0,1.0372131647606586,1.0585826349593832,30,15,15,0,0.9904844275817193,1.0492930565823242,1.108101685582929,1.0227621480723457,0,0,0,0,0,0.9967398881200704,1.0102978929683337,1.023855897816597,1.0401508215846038,1.0195560033441924,0,0,0,0,0.957379026445524,0.9879061100214154,1.0184331935973068,1.0372131647606586,1.0585826349593832,0,0,0,0,1.0108941171399508,1.0281253911009762,1.0453566650620016,1.0401508215846038,1.0195560033441924,0,0,0,0,,,9.721108544729393,5.607457387113544,67.88593574564226,,2.2670390712184245,5.901430548598697,,,0,-0.3785038153790042,0,0,0,0,0,0,0
1759771800,1.0462879741146862,1.049233397778877,1.0461718293395674,1.046903808967037,2.5,0.007489765532780517,0.005237298490590253,0.011223963552658756,0.005986665062068503,0.009234686844349659,1.0240745193200784,,807792,3704265,73.74721136925571,-0.35248614211917295,-40,-60,10,30,50,,,,,,,,,,,1.0386820638067868,1.0585826349593832,0,0,0,0,0,0,0,0,0,0,1.0386820638067868,1.0585826349593832,50,20,55,15,0.9906715602523567,1.0477046839246653,1.1047378075969738,1.0333017117584988,0,0,0,0,0,0.9989094710981798,1.0136133910380063,1.0283173109778327,1.041773930868091,1.0326198466222474,0,0,0,0,0.9584967022655555,0.989125893454021,1.0197550846424865,1.0386820638067868,1.0585826349593832,0,0,0,0,1.015002163004592,1.0339811179301124,1.0529600728556328,1.041773930868091,1.0326198466222474,0,0,0,0,,,,,,,2.2670390712184245,5.887902224735889,,,0,-0.35248614211917295,0,0,0,0,0,0,0
1759843800,1.0504760194000358,1.0507880910683012,1.037176724137931,1.0394889142118817,2.5,0.00792702277546549,0.004300205084264399,0.011361921417399001,0.007061716333134602,0.008045330688832859,1.0240745193200784,,1628050,2076215,66.25722256340009,-0.35248614211917295,-40,-60,10,30,50,,,,,,,,,,,1.0386820638067868,1.0585826349593832,0,0,0,0,0,0,0,0,0,0,1.0386820638067868,1.0585826349593832,15,15,15,0,0.9906715602523567,1.0477046839246653,1.1047378075969738,1.0333017117584988,0,0,0,0,0,1.0012871269594938,1.016604902405332,1.0319226778511703,1.041773930868091,1.0326198466222474,0,0,0,0,0.9584967022655555,0.989125893454021,1.0197550846424865,1.0386820638067868,1.0585826349593832,0,0,0,0,1.0180259782351309,1.0377746956613896,1.0575234130876483,1.041773930868091,1.0326198466222474,0,0,0,0,,,,,55.924772640487426,,2.2851584117059938,5.9645543714686,,,0,-0.35248614211917295,0,0,0,0,0,0,0
1759858200,1.0407842785355348,1.0437631850621663,1.028604786923526,1.0342072185311546,2.5,0.008443549587120831,0.003085983436240244,0.010919195628434908,0.007833212192194664,0.05895617056231071,1.0240745193200784,,1075550,1000665,61.468279333773275,-0.35248614211917295,-40,-60,10,30,50,,,,,,,,,,,1.0386820638067868,1.0585826349593832,0,0,0,0,0,0,0,0,0,0,1.0386820638067868,1.0585826349593832,20,20,20,0,0.9906715602523567,1.0477046839246653,1.1047378075969738,1.0333017117584988,0,0,0,0,0,1.0035580713654626,1.019225942635148,1.0348938139048334,1.041773930868091,1.0326198466222474,0,0,0,0,0.9590880296145692,0.9896757901324542,1.0202635506503392,1.0386820638067868,1.0585826349593832,0,0,0,0,1.0209115892455174,1.0413244368260706,1.0617372844066237,1.041773930868091,1.0326198466222474,0,0,0,0,,,,,,,2.2851584117059938,5.948245913747989,,,0,-0.35248614211917295,0,0,0,0,0,0,0
1759930200,1.0384374160021503,1.0399856553702707,1.0346064192218039,1.037652021720594,2.5,0.008253184390834774,0.0023115858711014216,0.010722694531071442,0.00841110865997002,0.024056626437027495,1.0240745193200784,,1483305,2483970,63.329912598246885,-0.35248614211917295,-40,-60,10,30,50,,,,,,,,,,,1.0386820638067868,1.0585826349593832,0,0,0,0,0,0,0,0,0,0,1.0386820638067868,1.0585826349593832,15,15,15,0,0.9906715602523567,1.0477046839246653,1.1047378075969738,1.0333017117584988,0,0,0,0,0,1.0057854233685304,1.021955089712818,1.0381247560571056,1.041773930868091,1.0326198466222474,0,0,0,0,0.9590880296145692,0.9896757901324542,1.0202635506503392,1.0386820638067868,1.0585826349593832,0,0,0,0,1.0234865621282265,1.044379262569701,1.0652719630111755,1.041773930868091,1.0326198466222474,0,0,0,0,,,,,61.36065312263387,,2.2164810029164412,5.6452155637936094,,,0,-0.35248614211917295,0,0,0,0,0,0,0
