time,open,high,low,close,S3 Early,S3 Confirmed,S1 Early,S1 Confirmed
1731335400,297.19,325.16,293.45,324.14,0,0,0,0
1731349800,324.25,351.85,324.25,339.82,0,0,0,0
1731421800,334.01,357.37,325.5,348,0,0,0,0
1731436200,348.17,360.8,345.9,356.63,0,0,0,0
1731508200,366.735,383.27,350.14,355.88,0,0,0,0
1731522600,355.92,357.5,321.8,328.24,0,0,0,0
1731594600,341.77,348,318.65,333.66,0,0,0,0
1731609000,333.54,338.36,326.51,327.66,0,0,0,0
1731681000,336.61,342.2,324.13,334.93,0,0,0,0
1731695400,334.5,349.94,332.09,340,0,0,0,0
1731940200,345.45,377.35,339.4,371.97,0,0,0,0
1731954600,371.98,388.48,356.35,385.17,0,0,0,0
1732026600,389.5,423.78,381.2,421.74,0,0,0,0
1732041000,421.62,449,420.69,430.41,0,0,0,0
1732113000,463.4,499.33,457.24,494.73,0,0,0,0
1732127400,494.07,504.7,472.4,473.78,0,0,0,0
1732199400,534.95,543,425.85,466.67,0,0,0,0
1732213800,466.79,468.5,372,397.15,0,0,0,0
1732285800,403.235,453,393.1,432.01,0,0,0,0
1732300200,431.8,450.58,420.52,420.94,0,0,0,0
1732545000,440.5,440.98,383.82,405.97,0,0,0,0
1732559400,405.55,408.07,391.18,403.46,0,0,0,0
1732631400,383.24,402.91,371.12,371.29,0,0,0,0
1732645800,371.41,372.35,338.7,354.17,0,0,0,0
1732717800,384.58,393.9,372.58,387.18,0,0,0,0
1732732200,387,397.66,385,388.48,0,0,0,0
1732890600,405.75,417.53,381,386.1,0,0,0,0
1733149800,393.865,398.7,375.19,380.42,0,0,0,0
1733164200,380.2,387.01,374.4,380.23,0,0,0,0
1733236200,367.62,393,362.7,382.22,0,0,0,0
1733250600,382.01,384.22,369.62,373.46,0,0,0,0
1733322600,379.85,385.51,365.65,374.66,0,0,0,0
1733337000,374.71,409.97,372.17,405.9,0,0,0,0
1733409000,440.22,444.94,387.61,393.25,0,0,0,0
1733423400,393,394.45,379.39,386.39,0,0,0,0
1733495400,395.01,405.01,384.08,399.56,0,0,0,0
1733509800,399.3,403.2,391.11,395.09,0,0,0,0
1733754600,394.15,399.8,371.5,381.57,0,0,0,0
1733769000,381.44,382.49,363.5,365.54,0,0,0,0
