time,open,high,low,close,VLT SRI Bias Histogram,LT SRI Bias Histogram,ST SRI Bias Histogram,VST SRI Bias Histogram,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4
1765823400,3.285,3.34,3.2,3.225,0,0,0,-15,,,,3.4715958411555645,,0,0,0,0,,,,,,0,0,0,0,,,,3.4715958411555645,,0,0,0,0,,,,2.865637755102041,,0,0,0,0
1765895400,3.225,3.5,3.21,3.37,0,0,0,0,,,,3.4715958411555645,,0,0,0,0,,,,,,0,0,0,0,,,,3.4715958411555645,,0,0,0,0,,,,2.865637755102041,,0,0,0,0
1765909800,3.37,3.615,3.37,3.46,0,0,0,0,,,,3.4715958411555645,,0,0,0,0,,,,,,0,0,0,0,,,,3.4715958411555645,,0,0,0,0,,,,2.865637755102041,,0,0,0,0
1765981800,3.47,3.48,3.33,3.39,0,0,0,0,,,,3.4715958411555645,,0,0,0,0,,,,,,0,0,0,0,,,,3.4715958411555645,,0,0,0,0,,,,2.865637755102041,,0,0,0,0
1765996200,3.38,3.4,3.29,3.39,0,0,0,0,,,,3.4715958411555645,,0,0,0,0,,,,,,0,0,0,0,,,,3.4715958411555645,,0,0,0,0,,,,2.865637755102041,,0,0,0,0
1766068200,3.38,3.57,3.33,3.33,0,0,0,0,,,,3.4715958411555645,,0,0,0,0,,,,,,0,0,0,0,,,,3.4715958411555645,,0,0,0,0,,,,2.865637755102041,,0,0,0,0
1766082600,3.33,3.33,3.16,3.16,0,0,0,-15,,,,3.4400061482012054,,0,0,0,0,,,,,,0,0,0,0,,,,3.4400061482012054,,0,0,0,0,,,,2.865637755102041,,0,0,0,0
1766154600,3.23,3.42,3.17,3.35,0,0,0,-15,3.0798738713726483,3.2856000000000014,3.2856000000000014,3.4050057090439765,,0,0,0,0,,,,,,0,0,0,0,,,,3.4050057090439765,,0,0,0,0,,,,2.865637755102041,,0,0,0,0
1766169000,3.33,3.44,3.26,3.39,0,0,0,0,3.0772646555141674,3.278894117647063,3.278894117647063,3.4050057090439765,,0,0,0,0,,,,,,0,0,0,0,,,,3.4050057090439765,,0,0,0,0,,,,2.865637755102041,,0,0,0,0
1766413800,3.445,3.445,3.29,3.36,0,0,0,0,3.072108047322236,3.270164705882352,3.270164705882352,3.4050057090439765,,0,0,0,0,,,,,,0,0,0,0,,,,3.4050057090439765,,0,0,0,0,,,,2.865637755102041,,0,0,0,0
