time,open,high,low,close,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim
1756488600,1.0157921084967916,1.0157921084967916,1.0089285714285714,1.009926236226209,0.9767068307551143,1.0066342764910032,1.0066342764910032,1.0148334213576597,1.0328870867028799,0,0,0,0,-15.669556673803804,-40,-60,10,30,50,,,,,,,,,,
1756819800,1.0213547646383467,1.0257703595011003,1.0177824748426227,1.0183953392357448,0.9735989943059462,1.0036454214408819,1.0036454214408819,1.0148334213576597,1.0328870867028799,0,0,0,0,-15.669556673803804,-40,-60,10,30,50,,,,,,,,,,
1756834200,1.0183953392357448,1.0223750573131591,1.0183953392357448,1.0206270627062706,0.9710317637029939,1.00125928351879,1.00125928351879,1.0161853761283415,1.0328870867028799,0,0,0,0,-15.669556673803804,-40,-60,10,30,50,,,,,,,,,,
1756906200,1.0228791067996705,1.0228791067996705,1.0166324903167008,1.0174415957010792,0.9688549199125913,0.9993250509892441,0.9993250509892441,1.0161853761283415,1.0328870867028799,0,0,0,0,-15.669556673803804,-40,-60,10,30,50,,,,,,,,,,
1756920600,1.0174415957010792,1.0177229030935349,1.0147092308392913,1.017001686494371,0.9666616685576314,0.9973722067078177,0.9973722067078177,1.0161853761283415,1.0328870867028799,0,0,0,0,-15.669556673803804,-40,-60,10,30,50,,,,,,,,,,
1756992600,1.014947071918586,1.014947071918586,1.006726661212617,1.009343251088534,0.9654477183418999,0.9960972898401474,0.9960972898401474,1.014664095469216,1.0328870867028799,0,0,0,0,-15.669556673803804,-40,-60,10,30,50,,,,,,,,,,
1757007000,1.0097959183673468,1.01002494896802,1.0071583907212758,1.0075596396722648,0.9641410170648091,0.9947591165768858,0.9947591165768858,1.0120447948855815,1.0312100782345601,0,0,0,0,-15.724349483256582,-40,-60,10,30,50,,,,,,,,,,
1757079000,1.0033273381294963,1.0033273381294963,0.9949128888488723,1.0012583138594284,0.9645607549603482,0.9942339656651961,0.9942339656651961,1.0059752863742688,1.0312100782345601,0,0,0,0,-15.836674144008441,-40,-60,10,30,50,,,,,,,,,,
1757093400,1.0012583138594284,1.0052643419572553,1.0009892086330936,1.0014392372042817,0.9656693906990153,0.994076036290321,0.994076036290321,1.0059752863742688,1.019826763976871,0,0,0,0,-15.836674144008441,-40,-60,10,30,50,,,,,,,,,,
1757338200,1.000358744394619,1.0015705631590757,0.9966816143497758,0.9989231873653984,0.9639595669203542,0.9924459493488537,0.9924459493488537,1.0042334341974788,1.019826763976871,0,0,0,0,-15.876148055154399,-40,-60,10,30,50,,,,,,,,,,
