time,open,high,low,close,MA,200-Week SMA,Weekly RSI,RSI Oversold + Below MA,Regime Gate Passed,StochRSI %K
1018877400,111.62,113.67,110.2,112.88,127.46209909999985,127.46209909999985,47.85120625326739,0,0,44.48249998084756
1019482200,112.38,112.42999,107.28999,107.39,127.43061159999986,127.43061159999986,39.260855404577114,0,0,28.834546063662845
1020087000,107.931,109.91,106.63,107.58,127.39429284999986,127.39429284999986,39.66455329867959,0,0,19.84324424407704
1020691800,107.647,109.36,104.89999,105.72,127.34054909999986,127.34054909999986,37.06725257507998,0,0,5.223524992789013
1021296600,106.22,111.25,105.799,110.89999,127.30223654999988,127.30223654999988,47.39781792927804,0,0,20.285856004917076
1021901400,110.64,110.69,108,108.69,127.27521779999987,127.27521779999987,44.07372450783904,0,0,27.190517523499505
1022592600,109.05,109.13,105.89999,107.22,127.25241154999986,127.25241154999986,41.96549017181028,0,0,31.03459852289906
1023111000,107.09,107.60001,101.72,103.34,127.22348654999985,127.22348654999985,36.942478034675034,0,0,18.9942849039998
1023715800,103.243,104.53999,98.5,101.39999,127.19986149999986,127.19986149999986,34.70566722948777,1,1,14.264351207384118
1024320600,101.92101,105.03,98.687,99.28,127.15344899999985,127.15344899999985,32.3971924649838,1,1,9.670164283425635
1024925400,98.61,100.89,95.19501,98.96001,127.13137404999985,127.13137404999985,32.05065600589674,1,1,12.433792349265403
1025530200,99.187,99.8,93.72701,99.31,127.13917404999985,127.13917404999985,32.896116126901916,1,1,16.158220959274505
1026135000,98.98,99.7,90.32001,91.85001,127.08998659999986,127.08998659999986,25.58792075227224,1,1,16.991025421275555
1026739800,91.64301,93.3,84.3,84.71001,127.00306789999986,127.00306789999986,20.820340603562357,1,1,11.35672575780594
1027344600,84.10699,85.92999,77.67999,85.60001,126.90981794999985,126.90981794999985,22.75241738535614,1,1,10.246635378866864
1027949400,87.508,91.55,85.62,86.78999,126.84017414999985,126.84017414999985,25.37441819424224,1,1,17.10825257079726
1028554200,86.498,91.94,83.55,91.28999,126.80396784999986,126.80396784999986,34.43722616900938,1,1,30.156960007369026
1029159000,89.99699,94.08,88.02,93.22,126.74006784999987,126.74006784999987,37.91949289238129,0,0,37.99026770223383
1029763800,93.46001,97.14999,93.10001,94.60001,126.67884914999986,126.67884914999986,40.35875663088577,0,0,46.03024201577187
1030368600,94.91,96.25,90.81,91.78,126.58774914999985,126.58774914999985,37.146743247207,0,0,47.46055776600741
1031059800,90.735,91,87.5,90,126.46712414999985,126.46712414999985,35.24026118255779,0,0,45.75560074643622
1031578200,89.10001,93.33,88.25,89.67,126.34938039999986,126.34938039999986,34.88282195558874,1,1,43.28290180345494
1032183000,89.317,91.19,84.05,84.35001,126.18800544999985,126.18800544999985,29.65989182772337,1,0,36.46775075725642
1032787800,83.64999,85.97,81.85001,82.75,126.00425544999986,126.00425544999986,28.288055605002484,1,0,30.023614067783807
